"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","CMR.median","Under.five.deaths.median","Infant.deaths.median","Child.deaths.median"
"Europe",1955,96411616,50404495,0,0,,,,,,
"Latin America and the Caribbean",1955,34770962,18411275,0,0,,,,,,
"Central and Southern Asia",1955,100649176,53085180,0,0,,,,,,
"Central Asia",1955,3968605,2199305,0,0,,,,,,
"Southern Asia",1955,96680571,50885875,0,0,,,,,,
"Eastern and South-Eastern Asia",1955,165093166,85252170,0,0,,,,,,
"Eastern Asia",1955,128691691,66053113,0,0,,,,,,
"South-Eastern Asia",1955,36401475,19199057,0,0,,,,,,
"Northern Africa and Western Asia",1955,21007515,10976202,0,0,,,,,,
"Western Asia",1955,10603267,5613979,0,0,,,,,,
"Northern Africa",1955,10404248,5362223,0,0,,,,,,
"Sub-Saharan Africa",1955,36735640,19574813,7.14,7.24,,,,,,
"Oceania",1955,1995376,1024008,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1955,511262,264745,0,0,,,,,,
"Australia and New Zealand",1955,1484114,759263,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1955,122247432,63490280,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1955,36912737,19463802,0,0,,,,,,
"World",1955,481015153,251054665,0.5,0.6,,,,,,
"Least developed countries",1956,41921839,22322305,6.41,6.51,,,,,,
"Landlocked developing countries",1956,22466455,11993920,0,0,,,,,,
"Small island developing States",1956,4312011,2304419,0,0,,,,,,
"Europe and Northern America",1956,120558394,62660012,0,0,,,,,,
"Northern America",1956,24519539,12550380,0,0,,,,,,
"Europe",1956,96038855,50109632,0,0,,,,,,
"Latin America and the Caribbean",1956,35476995,18861802,0,0,,,,,,
"Central and Southern Asia",1956,101990052,53587879,0,0,,,,,,
"Central Asia",1956,3984638,2148916,0,0,,,,,,
"Southern Asia",1956,98005414,51438963,0,0,,,,,,
"Eastern and South-Eastern Asia",1956,167156681,85712221,0,0,,,,,,
"Eastern Asia",1956,130169016,66306473,0,0,,,,,,
"South-Eastern Asia",1956,36987665,19405748,0,0,,,,,,
"Northern Africa and Western Asia",1956,21213806,11016197,0,0,,,,,,
"Western Asia",1956,10754480,5635822,0,0,,,,,,
"Northern Africa",1956,10459326,5380375,0,0,,,,,,
"Sub-Saharan Africa",1956,37425439,19953909,7.18,7.28,,,,,,
"Oceania",1956,2035219,1058354,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1956,515127,266639,0,0,,,,,,
"Australia and New Zealand",1956,1520092,791715,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1956,122078486,63451727,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1956,37502792,19672387,0,0,,,,,,
"World",1956,485856586,252850374,0.6,0.6,,,,,,
"Least developed countries",1957,42695048,22741620,6.53,6.62,,,,,,
"Landlocked developing countries",1957,22772476,12014249,0,0,,,,,,
"Small island developing States",1957,4394607,2341329,0.76,0.76,,,,,,
"Europe and Northern America",1957,120180905,61608676,0,0,,,,,,
"Northern America",1957,24957424,12978252,0,0,,,,,,
"Europe",1957,95223481,48630424,0,0,,,,,,
"Latin America and the Caribbean",1957,36244778,19351710,0,0,,,,,,
"Central and Southern Asia",1957,103326889,53967392,0,0,,,,,,
"Central Asia",1957,3989834,2027408,0,0,,,,,,
"Southern Asia",1957,99337055,51939984,0,0,,,,,,
"Eastern and South-Eastern Asia",1957,168931602,86166013,0,0,,,,,,
"Eastern Asia",1957,131411913,66591384,0,0,,,,,,
"South-Eastern Asia",1957,37519689,19574629,0,0,,,,,,
"Northern Africa and Western Asia",1957,21429627,11058259,0,0,,,,,,
"Western Asia",1957,10912424,5648381,0,0,,,,,,
"Northern Africa",1957,10517203,5409878,0,0,,,,,,
"Sub-Saharan Africa",1957,38149829,20352683,7.31,7.4,,,,,,
"Oceania",1957,2087742,1093958,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1957,519292,269126,0,0,,,,,,
"Australia and New Zealand",1957,1568450,824832,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1957,121749355,62433508,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1957,38038981,19843755,0,0,,,,,,
"World",1957,490351372,253598691,0.6,0.6,,,,,,
"Least developed countries",1958,43503493,23190439,7.22,7.3,,,,,,
"Landlocked developing countries",1958,23034389,11970309,1.23,1.24,,,,,,
"Small island developing States",1958,4475060,2376427,0.91,0.9,,,,,,
"Europe and Northern America",1958,119540601,59854538,0,0,,,,,,
"Northern America",1958,25610805,13552348,0,0,,,,,,
"Europe",1958,93929796,46302190,0,0,,,,,,
"Latin America and the Caribbean",1958,37076966,19874828,0,0,,,,,,
"Central and Southern Asia",1958,104463364,54252688,0,0,,,,,,
"Central Asia",1958,3950239,1841864,0,0,,,,,,
"Southern Asia",1958,100513125,52410824,0,0,,,,,,
"Eastern and South-Eastern Asia",1958,169954173,86595889,0,0,,,,,,
"Eastern Asia",1958,131952597,66868597,0,0,,,,,,
"South-Eastern Asia",1958,38001576,19727292,0,0,,,,,,
"Northern Africa and Western Asia",1958,21644728,11119497,0,0,,,,,,
"Western Asia",1958,11062667,5658747,0,0,,,,,,
"Northern Africa",1958,10582061,5460750,0,0,,,,,,
"Sub-Saharan Africa",1958,38909433,20781232,8.09,8.16,,,,,,
"Oceania",1958,2146555,1131245,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1958,523931,272248,0,0,,,,,,
"Australia and New Zealand",1958,1622624,858997,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1958,121163225,60713535,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1958,38525507,19999540,0,0,,,,,,
"World",1958,493735820,253609917,0.6,0.7,,,,,,
"Least developed countries",1959,44333305,23683701,9.33,9.43,,,,,,
"Landlocked developing countries",1959,23230226,11918431,5.2,5.46,,,,,,
"Small island developing States",1959,4556150,2416014,0.9,0.9,,,,,,
"Europe and Northern America",1959,119287000,58216777,0,0,,,,,,
"Northern America",1959,26264292,14133609,0,0,,,,,,
"Europe",1959,93022708,44083168,0,0,,,,,,
"Latin America and the Caribbean",1959,37985857,20427663,0,0,,,,,,
"Central and Southern Asia",1959,105812286,54753743,0,0,,,,,,
"Central Asia",1959,3845496,1635202,0,0,,,,,,
"Southern Asia",1959,101966790,53118541,0,0,,,,,,
"Eastern and South-Eastern Asia",1959,170500690,87168584,0,0,,,,,,
"Eastern Asia",1959,132056225,67274858,0,0,,,,,,
"South-Eastern Asia",1959,38444465,19893726,0,0,,,,,,
"Northern Africa and Western Asia",1959,21881425,11241406,0,0,,,,,,
"Western Asia",1959,11207488,5683487,0,0,,,,,,
"Northern Africa",1959,10673937,5557919,0,0,,,,,,
"Sub-Saharan Africa",1959,39696538,21252659,10.43,10.52,,,,,,
"Oceania",1959,2217235,1176890,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1959,529542,276372,0,0,,,,,,
"Australia and New Zealand",1959,1687693,900518,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1959,120974693,59117295,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1959,38974007,20170098,0,0,,,,,,
"World",1959,497381031,254237722,0.8,0.9,,,,,,
"Least developed countries",1960,45295488,24256072,10.02,10.12,,,,,,
"Landlocked developing countries",1960,23444682,11952523,5.25,5.55,,,,,,
"Small island developing States",1960,4640774,2462864,0.89,0.88,,,,,,
"Europe and Northern America",1960,118710416,56691845,0,0,,,,,,
"Northern America",1960,26950871,14709610,0,0,,,,,,
"Europe",1960,91759545,41982235,0,0,,,,,,
"Latin America and the Caribbean",1960,38986200,21022194,0,0,,,,,,
"Central and Southern Asia",1960,107250103,55514813,0,0,,,,,,
"Central Asia",1960,3720977,1481605,0,0,,,,,,
"Southern Asia",1960,103529126,54033208,0,0,,,,,,
"Eastern and South-Eastern Asia",1960,171030312,87702486,0,0,,,,,,
"Eastern Asia",1960,132108627,67580340,0,0,,,,,,
"South-Eastern Asia",1960,38921685,20122146,0,0,,,,,,
"Northern Africa and Western Asia",1960,22199834,11462251,0,0,,,,,,
"Western Asia",1960,11356959,5740754,0,0,,,,,,
"Northern Africa",1960,10842875,5721497,0,0,,,,,,
"Sub-Saharan Africa",1960,40602674,21797947,11.2,11.28,,,,,,
"Oceania",1960,2300297,1230007,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1960,536690,281842,0,0,,,,,,
"Australia and New Zealand",1960,1763607,948165,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1960,120474023,57640010,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1960,39458375,20403988,0,0,,,,,,
"World",1960,501079836,255421543,0.9,1,,,,,,
"Least developed countries",1961,46324998,24868847,10.05,10.14,,,,,,
"Landlocked developing countries",1961,23712655,12120768,5.28,5.59,,,,,,
"Small island developing States",1961,4717077,2506363,0.88,0.85,,,,,,
"Europe and Northern America",1961,118953271,56676397,0,0,,,,,,
"Northern America",1961,27927200,15451883,0,0,,,,,,
"Europe",1961,91026071,41224514,0,0,,,,,,
"Latin America and the Caribbean",1961,40041803,21646019,0,0,,,,,,
"Central and Southern Asia",1961,108834944,56556413,8.45,8.75,,,,,,
"Central Asia",1961,3620805,1425286,0,0,,,,,,
"Southern Asia",1961,105214139,55131127,8.74,8.98,,,,,,
"Eastern and South-Eastern Asia",1961,172555444,88933658,0,0,,,,,,
"Eastern Asia",1961,133177775,68530571,0,0,,,,,,
"South-Eastern Asia",1961,39377669,20403087,0,0,,,,,,
"Northern Africa and Western Asia",1961,22611725,11808108,0,0,,,,,,
"Western Asia",1961,11536235,5863731,0,0,,,,,,
"Northern Africa",1961,11075490,5944377,0,0,,,,,,
"Sub-Saharan Africa",1961,41565547,22373336,11.22,11.28,,,,,,
"Oceania",1961,2399112,1293593,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1961,545467,288593,0,0,,,,,,
"Australia and New Zealand",1961,1853645,1005000,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1961,120806916,57681397,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1961,39923136,20691680,0,0,,,,,,
"World",1961,506961846,259287524,2.7,2.9,,,,,,
"Least developed countries",1962,47400982,25504245,10.07,10.13,,,,,,
"Landlocked developing countries",1962,24075621,12447441,5.29,5.53,,,,,,
"Small island developing States",1962,4790386,2554403,0.86,0.83,,,,,,
"Europe and Northern America",1962,120122935,58818864,0,0,,,,,,
"Northern America",1962,29369376,16394618,0,0,,,,,,
"Europe",1962,90753559,42424246,0,0,,,,,,
"Latin America and the Caribbean",1962,41212363,22340610,0,0,,,,,,
"Central and Southern Asia",1962,110551720,57827677,8.48,8.71,,,,,,
"Central Asia",1962,3561076,1473333,0,0,,,,,,
"Southern Asia",1962,106990644,56354344,8.77,8.94,,,,,,
"Eastern and South-Eastern Asia",1962,175620657,91610399,0,0,,,,,,
"Eastern Asia",1962,135733270,70842965,0,0,,,,,,
"South-Eastern Asia",1962,39887387,20767434,0,0,,,,,,
"Northern Africa and Western Asia",1962,23093683,12257724,0,0,,,,,,
"Western Asia",1962,11749916,6069161,0,0,,,,,,
"Northern Africa",1962,11343767,6188563,0,0,,,,,,
"Sub-Saharan Africa",1962,42577834,22958512,11.22,11.27,,,,,,
"Oceania",1962,2511671,1371344,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1962,555974,295637,0,0,,,,,,
"Australia and New Zealand",1962,1955697,1075707,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1962,122078632,59894571,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1962,40443361,21063071,0,0,,,,,,
"World",1962,515690863,267185130,2.7,2.9,,,,,,
"Least developed countries",1963,48433860,26071039,32.5,32.31,,,,,,
"Landlocked developing countries",1963,24486589,12887772,7.45,7.64,,,,,,
"Small island developing States",1963,4874550,2614949,0.83,0.79,,,,,,
"Europe and Northern America",1963,121752701,62061663,0,0,,,,,,
"Northern America",1963,30881249,17231251,0,0,,,,,,
"Europe",1963,90871452,44830412,0,0,,,,,,
"Latin America and the Caribbean",1963,42511153,23132893,0,0,,,,,,
"Central and Southern Asia",1963,112237647,59165318,17.69,17.89,,,,,,
"Central Asia",1963,3534171,1615668,0,0,,,,,,
"Southern Asia",1963,108703476,57549650,18.27,18.4,,,,,,
"Eastern and South-Eastern Asia",1963,179932552,95496602,9.74,9.34,,,,,,
"Eastern Asia",1963,139449279,74265641,0,0,,,,,,
"South-Eastern Asia",1963,40483273,21230961,43.3,42.03,,,,,,
"Northern Africa and Western Asia",1963,23669749,12784085,0,0,,,,,,
"Western Asia",1963,12012022,6333334,0,0,,,,,,
"Northern Africa",1963,11657727,6450751,0,0,,,,,,
"Sub-Saharan Africa",1963,43563893,23487509,12.44,12.46,,,,,,
"Oceania",1963,2620968,1446704,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1963,567571,303151,0,0,,,,,,
"Australia and New Zealand",1963,2053397,1143553,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1963,123806098,63205216,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1963,41050844,21534112,42.7,41.43,,,,,,
"World",1963,526288663,277574774,8.1,8.1,,,,,,
"Least developed countries",1964,49468128,26585051,32.35,31.97,,,,,,
"Landlocked developing countries",1964,25000519,13432295,7.37,7.35,,,,,,
"Small island developing States",1964,4973914,2686401,0.81,0.75,,,,,,
"Europe and Northern America",1964,123632977,65660469,0,0,,,,,,
"Northern America",1964,32349650,18021066,0,0,,,,,,
"Europe",1964,91283327,47639403,0,0,,,,,,
"Latin America and the Caribbean",1964,43945216,24031966,0,0,,,,,,
"Central and Southern Asia",1964,114659508,61078323,17.54,17.38,,,,,,
"Central Asia",1964,3563859,1834153,0,0,,,,,,
"Southern Asia",1964,111095649,59244170,18.11,17.92,,,,,,
"Eastern and South-Eastern Asia",1964,185371328,100304508,9.49,8.91,,,,,,
"Eastern Asia",1964,144071165,78410033,0,0,,,,,,
"South-Eastern Asia",1964,41300163,21894475,42.59,40.83,,,,,,
"Northern Africa and Western Asia",1964,24329637,13333448,0,0,,,,,,
"Western Asia",1964,12316049,6621334,0,0,,,,,,
"Northern Africa",1964,12013588,6712114,0,0,,,,,,
"Sub-Saharan Africa",1964,44563055,23979380,33.12,32.69,,,,,,
"Oceania",1964,2728053,1508968,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1964,580589,311156,0,0,,,,,,
"Australia and New Zealand",1964,2147464,1197812,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1964,125780441,66858281,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1964,41880752,22205631,42,40.26,,,,,,
"World",1964,539229774,289897062,9.7,9.5,,,,,,
"Least developed countries",1965,50606971,27144421,32.22,31.69,,,,,,
"Landlocked developing countries",1965,25666364,14045570,7.35,7.14,,,,,,
"Small island developing States",1965,5080827,2761801,0.78,0.73,,,,,,
"Europe and Northern America",1965,125829612,69438410,0,0,,,,,,
"Northern America",1965,33805480,18877930,0,0,,,,,,
"Europe",1965,92024132,50560480,0,0,,,,,,
"Latin America and the Caribbean",1965,45485341,24998465,0,0,,,,,,
"Central and Southern Asia",1965,117979862,63664575,17.28,16.73,,,,,,
"Central Asia",1965,3688423,2096824,0,0,,,,,,
"Southern Asia",1965,114291439,61567751,17.84,17.3,,,,,,
"Eastern and South-Eastern Asia",1965,191678266,106190059,9.21,8.46,,,,,,
"Eastern Asia",1965,149316471,83428000,0,0,,,,,,
"South-Eastern Asia",1965,42361795,22762059,41.68,39.49,,,,,,
"Northern Africa and Western Asia",1965,25093387,13887127,0,0,,,,,,
"Western Asia",1965,12665144,6905166,0,0,,,,,,
"Northern Africa",1965,12428243,6981961,0,0,,,,,,
"Sub-Saharan Africa",1965,45625132,24477654,32.89,32.3,,,,,,
"Oceania",1965,2837589,1564641,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1965,594610,319047,0,0,,,,,,
"Australia and New Zealand",1965,2242979,1245594,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1965,128072591,70684004,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1965,42956405,23081106,41.1,38.94,,,,,,
"World",1965,554529189,304220931,9.6,9.1,,,,,,
"Least developed countries",1966,51833736,27758674,36.56,35.9,,,,,,
"Landlocked developing countries",1966,26426807,14630389,7.28,6.99,,,,,,
"Small island developing States",1966,5202755,2842950,0.77,0.72,,,,,,
"Europe and Northern America",1966,128160167,71966320,0,0,,,,,,
"Northern America",1966,35214070,19517220,0,0,,,,,,
"Europe",1966,92946097,52449100,0,0,,,,,,
"Latin America and the Caribbean",1966,47093194,25990710,0,0,,,,,,
"Central and Southern Asia",1966,121785132,66479345,17.04,16.19,,,,,,
"Central Asia",1966,3895582,2347593,0,0,,,,,,
"Southern Asia",1966,117889550,64131752,17.6,16.78,,,,,,
"Eastern and South-Eastern Asia",1966,198901092,112101534,8.93,8.12,,,,,,
"Eastern Asia",1966,155381227,88411680,0,0,,,,,,
"South-Eastern Asia",1966,43519865,23689854,40.81,38.45,,,,,,
"Northern Africa and Western Asia",1966,25966860,14436163,0,0,,,,,,
"Western Asia",1966,13084612,7194773,0,0,,,,,,
"Northern Africa",1966,12882248,7241390,0,0,,,,,,
"Sub-Saharan Africa",1966,46722225,24989400,37.58,36.86,,,,,,
"Oceania",1966,2947531,1609321,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1966,609292,326818,0,0,,,,,,
"Australia and New Zealand",1966,2338239,1282503,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1966,130498406,73248823,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1966,44129157,24016672,40.25,37.92,,,,,,
"World",1966,571576201,317572793,9.8,9.2,,,,,,
"Least developed countries",1967,53121941,28429159,36.49,35.77,,,,,,
"Landlocked developing countries",1967,27281061,15164554,7.22,6.92,,,,,,
"Small island developing States",1967,5339896,2928217,0.76,0.73,,,,,,
"Europe and Northern America",1967,131743626,73217193,0,0,,,,,,
"Northern America",1967,36503868,19848642,0,0,,,,,,
"Europe",1967,95239758,53368551,0,0,,,,,,
"Latin America and the Caribbean",1967,48768767,26986415,0,0,,,,,,
"Central and Southern Asia",1967,125914880,69475894,16.8,15.76,,,,,,
"Central Asia",1967,4159947,2557004,0,0,,,,,,
"Southern Asia",1967,121754933,66918890,17.37,16.37,,,,,,
"Eastern and South-Eastern Asia",1967,207664603,118066535,8.67,7.91,,,,,,
"Eastern Asia",1967,162746964,93307310,0,0,,,,,,
"South-Eastern Asia",1967,44917639,24759225,40.07,37.72,,,,,,
"Northern Africa and Western Asia",1967,27013174,15059745,0,0,,,,,,
"Western Asia",1967,13581939,7523698,0,0,,,,,,
"Northern Africa",1967,13431235,7536047,0,0,,,,,,
"Sub-Saharan Africa",1967,47857111,25551148,37.35,36.55,,,,,,
"Oceania",1967,3051123,1635317,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1967,624272,335044,0,0,,,,,,
"Australia and New Zealand",1967,2426851,1300273,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1967,134170477,74517466,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1967,45541911,25094269,39.52,37.21,,,,,,
"World",1967,592013284,329992247,9.6,9,,,,,,
"Least developed countries",1968,54510545,29247656,36.87,36.21,,,,,,
"Landlocked developing countries",1968,28265644,15708082,7.12,6.89,,,,,,
"Small island developing States",1968,5493994,3017905,0.76,0.76,,,,,,
"Europe and Northern America",1968,135527385,73959668,0,0,,,,,,
"Northern America",1968,37707691,20216164,0,0,,,,,,
"Europe",1968,97819694,53743504,0,0,,,,,,
"Latin America and the Caribbean",1968,50517452,27957965,0,0,,,,,,
"Central and Southern Asia",1968,130647353,72858814,16.55,15.49,,,,,,
"Central Asia",1968,4503123,2752760,0,0,,,,,,
"Southern Asia",1968,126144230,70106054,17.14,16.09,,,,,,
"Eastern and South-Eastern Asia",1968,217912693,124141379,8.42,7.8,,,,,,
"Eastern Asia",1968,171353047,98174843,0,0,,,,,,
"South-Eastern Asia",1968,46559646,25966536,39.42,37.28,,,,,,
"Northern Africa and Western Asia",1968,28163699,15709644,0,0,,,,,,
"Western Asia",1968,14139614,7855395,0,0,,,,,,
"Northern Africa",1968,14024085,7854249,0,0,,,,,,
"Sub-Saharan Africa",1968,49064228,26232300,37.6,36.83,,,,,,
"Oceania",1968,3146050,1657762,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1968,638982,343080,0,0,,,,,,
"Australia and New Zealand",1968,2507068,1314682,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1968,138034453,75274350,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1968,47198628,26309616,38.89,36.8,,,,,,
"World",1968,614978860,342517532,9.5,8.9,,,,,,
"Least developed countries",1969,55968625,30184453,36.81,36.41,,,,,,
"Landlocked developing countries",1969,29346658,16248392,7,6.91,,,,,,
"Small island developing States",1969,5661472,3112384,0.76,0.8,,,,,,
"Europe and Northern America",1969,140191254,74818100,94.44,94.2,10.8878654846515,4.73553961116457,6.18159908079432,152114,71000,81114
"Northern America",1969,39004197,20733036,100,100,12.3280596260414,5.3728234130515,6.99280733194608,48053,22357,25696
"Europe",1969,101187057,54085064,92.3,91.98,10.2855687040551,4.46981532836275,5.8418654353615,103579,48406,55173
"Latin America and the Caribbean",1969,52328880,28888045,3.61,3.57,,,,,,
"Central and Southern Asia",1969,135473761,75962322,87.69,87.59,61.6934591308563,30.4858258551143,32.1889396854536,858080,469671,388411
"Central Asia",1969,4905021,2933403,0,0,,,,,,
"Southern Asia",1969,130568740,73028919,90.98,91.11,61.6934591308563,30.4858258551143,32.1889396854536,827194,451649,375545
"Eastern and South-Eastern Asia",1969,228006443,129391006,17.29,15.42,,,,,,
"Eastern Asia",1969,179560618,102197951,11.45,9.59,,,,,,
"South-Eastern Asia",1969,48445825,27193055,38.93,37.36,,,,,,
"Northern Africa and Western Asia",1969,29404510,16391556,8.28,8.61,,,,,,
"Western Asia",1969,14765673,8204656,0,0,,,,,,
"Northern Africa",1969,14638837,8186900,16.64,17.23,,,,,,
"Sub-Saharan Africa",1969,50328210,27002258,37.35,36.76,,,,,,
"Oceania",1969,3236536,1687794,79.78,79.17,11.5204884194715,5.5490188834568,6.00479023039432,3769,1889,1880
"Oceania (exc. Australia and New Zealand)",1969,654294,351635,0,0,,,,,,
"Australia and New Zealand",1969,2582242,1336159,100,100,11.5204884194715,5.5490188834568,6.00479023039432,3005,1493,1512
"Europe, Northern America, Australia and New Zealand",1969,142773496,76154259,94.55,94.3,10.8994422368703,4.75068080276608,6.17811167061518,155129,72506,82623
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1969,49100119,27544690,38.41,36.88,,,,,,
"World",1969,638969594,354141081,49.5,48.2,,,,,,
"Least developed countries",1970,57440923,31130225,38.19,37.99,,,,,,
"Landlocked developing countries",1970,30444883,16758811,9.6,9.44,,,,,,
"Small island developing States",1970,5836431,3210157,0.77,0.83,,,,,,
"Europe and Northern America",1970,144793746,75615669,94.42,94.18,11.0068721524217,4.74616659506357,6.29056161073928,159202,71886,87316
"Northern America",1970,40421395,21312753,100,100,12.5301397444341,5.45854478438748,7.1104074374794,50739,23370,27369
"Europe",1970,104372351,54302916,92.26,91.89,10.367984847391,4.44173972385028,5.95268540275776,107923,48241,59683
"Latin America and the Caribbean",1970,54191103,29807694,3.58,3.53,,,,,,
"Central and Southern Asia",1970,140571901,78648152,87.55,87.58,58.2282396399941,28.5514300369465,30.5490280398234,839552,455432,384121
"Central Asia",1970,5307559,3081288,0,0,,,,,,
"Southern Asia",1970,135264342,75566864,90.98,91.15,58.2282396399941,28.5514300369465,30.5490280398234,808121,437713,370408
"Eastern and South-Eastern Asia",1970,238812910,134172155,16.81,14.9,,,,,,
"Eastern Asia",1970,188298933,105783521,10.97,8.77,,,,,,
"South-Eastern Asia",1970,50513977,28388634,38.57,37.73,,,,,,
"Northern Africa and Western Asia",1970,30680933,17074103,8.32,8.68,,,,,,
"Western Asia",1970,15424736,8555176,0,0,,,,,,
"Northern Africa",1970,15256197,8518927,16.74,17.39,,,,,,
"Sub-Saharan Africa",1970,51633978,27815382,38.73,38.24,,,,,,
"Oceania",1970,3324702,1720898,79.83,79,11.4487884949249,5.50856284456024,5.97312900687776,3860,1916,1944
"Oceania (exc. Australia and New Zealand)",1970,670688,361321,0,0,,,,,,
"Australia and New Zealand",1970,2654014,1359577,100,100,11.4487884949249,5.50856284456024,5.97312900687776,3081,1511,1570
"Europe, Northern America, Australia and New Zealand",1970,147447760,76975246,94.52,94.28,11.0149494779733,4.76045502881461,6.28441110560954,162290,73409,88881
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1970,51184665,28749955,38.06,37.25,,,,,,
"World",1970,664009273,364854053,49.3,47.9,,,,,,
"Least developed countries",1971,58811094,32030342,38.08,38.1,,,,,,
"Landlocked developing countries",1971,31505771,17266195,9.45,9.39,,,,,,
"Small island developing States",1971,6022728,3311601,0.79,0.86,,,,,,
"Europe and Northern America",1971,148426271,76583816,94.38,94.21,11.071707737491,4.74144718027979,6.36041814388486,164712,72851,91860
"Northern America",1971,41721080,21928542,100,100,12.6820779630986,5.52314908905331,7.19868830278722,53104,24362,28742
"Europe",1971,106705191,54655274,92.18,91.88,10.3890562173715,4.39990879090808,6.01561558636453,111011,48181,62831
"Latin America and the Caribbean",1971,56099066,30752085,3.55,3.49,,,,,,
"Central and Southern Asia",1971,146062653,81336182,87.46,87.56,54.9858612936409,26.764485095733,28.9974787867085,820663,440727,379936
"Central Asia",1971,5676661,3216374,0,0,,,,,,
"Southern Asia",1971,140385992,78119808,91,91.17,54.9858612936409,26.764485095733,28.9974787867085,789012,423404,365608
"Eastern and South-Eastern Asia",1971,248192588,137710869,16.34,14.6,,,,,,
"Eastern Asia",1971,195592059,108130972,10.41,8.18,,,,,,
"South-Eastern Asia",1971,52600529,29579897,38.4,38.06,,,,,,
"Northern Africa and Western Asia",1971,31928547,17721977,8.36,8.7,,,,,,
"Western Asia",1971,16070026,8881022,0,0,,,,,,
"Northern Africa",1971,15858521,8840955,16.83,17.45,,,,,,
"Sub-Saharan Africa",1971,52959439,28654464,38.51,38.12,,,,,,
"Oceania",1971,3423332,1765373,79.89,78.93,11.356227397159,5.45385445079614,5.9347401553735,3939,1945,1995
"Oceania (exc. Australia and New Zealand)",1971,688490,372006,0,0,,,,,,
"Australia and New Zealand",1971,2734842,1393367,100,100,11.356227397159,5.45385445079614,5.9347401553735,3146,1531,1615
"Europe, Northern America, Australia and New Zealand",1971,151161113,77977183,94.48,94.31,11.0769233337765,4.75495002629053,6.35217759450607,167862,74395,93468
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1971,53289019,29951903,37.9,37.59,,,,,,
"World",1971,687091896,374524766,48.9,47.6,,,,,,
"Least developed countries",1972,60375040,32994605,41.71,41.84,,,,,,
"Landlocked developing countries",1972,32513478,17785663,16.04,15.94,,,,,,
"Small island developing States",1972,6201476,3406407,0.81,0.89,,,,,,
"Europe and Northern America",1972,150795802,77635653,94.35,94.3,11.0718528100384,4.7141845320306,6.38778145855363,167322,73422,93900
"Northern America",1972,42716011,22530986,100,100,12.6814586155547,5.5191058902397,7.20210188826869,54308,25006,29302
"Europe",1972,108079791,55104667,92.12,91.97,10.3810814992736,4.356113413551,6.05132835835416,112398,48093,64304
