"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","CMR.median","Under.five.deaths.median","Infant.deaths.median","Child.deaths.median"
"South-Eastern Asia",2011,110876720,56421328,100,100,10.3973526404986,4.88159540934131,5.54281501147217,115698,55200,60498
"Northern Africa and Western Asia",2011,86996091,43640484,100,100,9.61364075683646,4.37532656041806,5.261334251914,83892,38244,45648
"Western Asia",2011,45594402,22739802,100,100,7.93892697066068,3.73709989460272,4.21758862606795,36539,17081,19458
"Northern Africa",2011,41401689,20900682,100,100,11.460306253567,5.0692495181779,6.42361966628733,47353,21163,26190
"Sub-Saharan Africa",2011,174588877,93795004,100,100,25.2478732980014,10.8254081154577,14.5803029120133,441487,204137,237350
"Oceania",2011,5701148,2819761,100,100,8.28349341532286,3.76273063096356,4.53783744430934,4770,2138,2632
"Oceania (exc. Australia and New Zealand)",2011,2021079,1051837,100,100,15.6969207989101,7.00120886908213,8.75702166759373,3195,1486,1709
"Australia and New Zealand",2011,3680069,1767924,100,100,4.21895058369659,1.83098018472556,2.39235074578139,1575,652,923
"Europe, Northern America, Australia and New Zealand",2011,144067848,67125581,100,100,6.14788231579411,2.22312720766919,3.93349977850391,90795,29962,60832
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",2011,112897799,57473165,100,100,10.4919904927365,4.92042771567291,5.59911280690182,118893,56686,62207
"World",2011,1227871524,607321436,100,100,11.9086015117236,5.23797257905692,6.70575348554586,1472422,637737,834685
"Least developed countries",2012,179118769,96593864,100,100,21.1091400637101,9.42820242812843,11.792116093164,378601,182987,195614
"Landlocked developing countries",2012,90761945,48438563,100,100,20.0880125644947,8.88966295850758,11.2987920592319,182410,86431,95979
"Small island developing States",2012,11145825,5585218,100,100,13.1397268684876,5.51719901983121,7.66481616488858,14732,6183,8549
"Europe and Northern America",2012,138077887,63825901,100,100,5.94286211380135,2.13438529296625,3.81662296475984,84283,27351,56931
"Northern America",2012,48682792,23413230,100,100,6.30539461253443,2.27816379997722,4.03642645318412,31278,10736,20542
"Europe",2012,89395095,40412671,100,99.99,5.74668150998137,2.05107277508787,3.70320427636542,53005,16615,36389
"Latin America and the Caribbean",2012,107536577,54553998,100,100,12.9941852184441,5.43255857623037,7.60293000481585,140131,59379,80752
"Central and Southern Asia",2012,362779370,185719536,100,100,12.783832991598,5.44690913198512,7.37710628721645,464499,202693,261806
"Central Asia",2012,13211504,6462645,100,100,8.1109242641646,3.23568975845101,4.89106045995184,10796,4189,6607
"Southern Asia",2012,349567866,179256891,100,100,12.9607163186957,5.52653748403262,7.4754924237544,453703,198504,255199
"Eastern and South-Eastern Asia",2012,345096397,158945149,100,100,6.35494956681337,2.82114050259161,3.5438066406691,221987,89810,132177
"Eastern Asia",2012,233759380,102576175,100,100,4.47638725274446,1.73948460323331,2.74167174529915,107747,35716,72031
"South-Eastern Asia",2012,111337017,56368974,100,100,10.2158747175221,4.78645822470387,5.45552915521322,114240,54094,60146
"Northern Africa and Western Asia",2012,87231632,43643899,100,100,10.7019050334861,4.71380824651396,6.01645721259563,93462,41168,52294
"Western Asia",2012,45955144,22810278,100,100,10.189715962147,4.4101909793791,5.80512670017514,46854,20124,26730
"Northern Africa",2012,41276488,20833621,100,100,11.2702252658264,5.04612624766782,6.2556658980433,46608,21044,25564
"Sub-Saharan Africa",2012,179023806,96215918,100,100,24.0028014102552,10.3102952131927,13.8351506849433,430242,199463,230779
"Oceania",2012,5757143,2840560,100,100,8.17218787990337,3.71243313711142,4.47637297817011,4756,2126,2630
"Oceania (exc. Australia and New Zealand)",2012,2064059,1073030,100,100,15.5002732510749,6.90968191316462,8.65036259185359,3222,1496,1726
"Australia and New Zealand",2012,3693084,1767530,100,100,4.08365106525521,1.76644239913967,2.32130912497539,1534,630,904
"Europe, Northern America, Australia and New Zealand",2012,141770971,65593431,100,100,5.8952959018318,2.12447187752911,3.77885208929574,85817,27981,57835
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",2012,113401076,57442004,100,100,10.3117577042432,4.82616199907707,5.5121984679435,117462,55590,61872
"World",2012,1225502812,605744961,100,100,11.6663491835891,5.12249132179695,6.57755131130301,1439362,621991,817371
"Least developed countries",2013,183575619,98930896,100,100,20.5949142634893,9.22213006151393,11.478641728929,378607,183312,195295
"Landlocked developing countries",2013,92563460,49247053,100,100,19.7027284024551,8.76338059673068,11.0360610086319,182463,86590,95873
"Small island developing States",2013,11206608,5592727,100,100,13.0100065795231,5.45024041061271,7.60119450637797,14670,6116,8554
"Europe and Northern America",2013,135490912,62716198,100,100,5.74474933383107,2.06574270562533,3.68662224120901,79935,26015,53919
"Northern America",2013,48644312,23217318,100,100,6.31180758436856,2.25740014876383,4.06358056297203,31361,10551,20810
"Europe",2013,86846600,39498880,99.99,99.99,5.43037610932118,1.95306371678459,3.48411709522024,48574,15464,33109
"Latin America and the Caribbean",2013,107738690,54566800,100,100,12.9033894949051,5.4122403482125,7.53191367377708,139466,59174,80292
"Central and Southern Asia",2013,364927368,186696483,100,100,12.2227644721591,5.22401817710016,7.0354998742872,446629,195377,251252
