"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Western Asia","1959","11230919","5695827","0","0",,,,,,
"Northern Africa","1959","10655855","5549257","0","0",,,,,,
"Sub-Saharan Africa","1959","39688790","21243021","10.43","10.52",,,,,,
"Oceania","1959","2227959","1180341","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1959","529185","276122","0","0",,,,,,
"Australia and New Zealand","1959","1698775","904219","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1959","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1959","0","0","NaN","NaN",,,,,,
"World","1959","497409458","254247587","0.8","0.9",,,,,,
"Least developed countries","1960","45285746","24246821","10.02","10.12",,,,,,
"Landlocked developing countries","1960","23443424","11950790","5.23","5.54",,,,,,
"Small island developing States","1960","4622120","2451399","0.89","0.87",,,,,,
"Europe and Northern America","1960","118739276","56701258","0","0",,,,,,
"Northern America","1960","26987862","14722275","0","0",,,,,,
"Europe","1960","91751415","41978983","0","0",,,,,,
"Latin America and the Caribbean","1960","38945531","21005141","0","0",,,,,,
"Central and Southern Asia","1960","107298303","55532230","0","0",,,,,,
"Central Asia","1960","3739626","1488362","0","0",,,,,,
"Southern Asia","1960","103558678","54043868","0","0",,,,,,
"Eastern and South-Eastern Asia","1960","170997114","87689554","0","0",,,,,,
"Eastern Asia","1960","132088045","67573410","0","0",,,,,,
"South-Eastern Asia","1960","38909069","20116144","0","0",,,,,,
"Northern Africa and Western Asia","1960","22201368","11461877","0","0",,,,,,
"Western Asia","1960","11376677","5749090","0","0",,,,,,
"Northern Africa","1960","10824691","5712787","0","0",,,,,,
"Sub-Saharan Africa","1960","40602964","21789217","11.2","11.28",,,,,,
"Oceania","1960","2312117","1233653","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1960","536252","281513","0","0",,,,,,
"Australia and New Zealand","1960","1775866","952141","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1960","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1960","0","0","NaN","NaN",,,,,,
"World","1960","501096672","255412928","0.9","1",,,,,,
"Least developed countries","1961","46323932","24863178","10.05","10.14",,,,,,
"Landlocked developing countries","1961","23721582","12122721","5.27","5.58",,,,,,
"Small island developing States","1961","4695571","2493754","0.88","0.85",,,,,,
"Europe and Northern America","1961","118852559","56643048","0","0",,,,,,
"Northern America","1961","27987434","15473399","0","0",,,,,,
"Europe","1961","90865125","41169649","0","0",,,,,,
"Latin America and the Caribbean","1961","40004591","21630487","0","0",,,,,,
"Central and Southern Asia","1961","108907772","56582715","8.44","8.74",,,,,,
"Central Asia","1961","3644536","1433884","0","0",,,,,,
"Southern Asia","1961","105263236","55148831","8.73","8.97",,,,,,
"Eastern and South-Eastern Asia","1961","172499340","88908924","0","0",,,,,,
"Eastern Asia","1961","133130001","68510250","0","0",,,,,,
"South-Eastern Asia","1961","39369339","20398674","0","0",,,,,,
"Northern Africa and Western Asia","1961","22597764","11797677","0","0",,,,,,
"Western Asia","1961","11548440","5872945","0","0",,,,,,
"Northern Africa","1961","11049325","5924732","0","0",,,,,,
"Sub-Saharan Africa","1961","41580750","22370315","11.22","11.28",,,,,,
"Oceania","1961","2409336","1296756","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1961","545279","288036","0","0",,,,,,
"Australia and New Zealand","1961","1864057","1008720","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1961","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1961","0","0","NaN","NaN",,,,,,
"World","1961","506852111","259229919","2.7","2.9",,,,,,
"Least developed countries","1962","47394634","25496766","10.07","10.13",,,,,,
"Landlocked developing countries","1962","24080563","12448023","5.27","5.52",,,,,,
"Small island developing States","1962","4770857","2543705","0.86","0.82",,,,,,
"Europe and Northern America","1962","120170650","58815505","0","0",,,,,,
"Northern America","1962","29441788","16420465","0","0",,,,,,
"Europe","1962","90728862","42395041","0","0",,,,,,
"Latin America and the Caribbean","1962","41172108","22324222","0","0",,,,,,
"Central and Southern Asia","1962","110573426","57835705","8.47","8.71",,,,,,
"Central Asia","1962","3586774","1482646","0","0",,,,,,
"Southern Asia","1962","106986652","56353060","8.76","8.94",,,,,,
"Eastern and South-Eastern Asia","1962","175569528","91591014","0","0",,,,,,
"Eastern Asia","1962","135690082","70827769","0","0",,,,,,
"South-Eastern Asia","1962","39879446","20763245","0","0",,,,,,
"Northern Africa and Western Asia","1962","23080197","12247270","0","0",,,,,,
"Western Asia","1962","11761647","6076513","0","0",,,,,,
"Northern Africa","1962","11318551","6170757","0","0",,,,,,
"Sub-Saharan Africa","1962","42591942","22956642","11.22","11.27",,,,,,
"Oceania","1962","2519878","1374238","0","0",,,,,,
