"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
1980,544633768,110709858,98.7,98.8,117.59085621757,80.1775084352523,44.3323894518204,14079828,9706979,5496519
1981,547785272,112915166,99.1,99.1,114.369080839681,78.1103261707447,43.4511254971599,13865721,9590986,5465898
1982,554645213,115957050,99.4,99.4,111.213760651543,76.0895960923516,42.5424609984297,13695564,9502407,5443114
1983,564321584,119522148,99.4,99.4,108.128152722124,74.1110419479726,41.5756152518026,13553289,9427373,5416401
1984,575418064,123165212,99.6,99.6,105.2609825395,72.2887303175324,40.6593583110812,13440251,9368337,5393018
1985,587134637,126513998,100,100,102.450037524256,70.5005242604047,40.1701851318397,13314360,9294400,5414491
1986,603263395,129406272,100,100,100.071576868809,69.0188461899804,39.2697744409306,13204974,9226414,5359289
1987,617090749,132074641,100,100,97.9833370395513,67.7152900740438,38.4732931696021,13076875,9138997,5292351
1988,628327099,134061451,100,100,96.1794313233862,66.5780469739997,37.7918643133046,12924379,9028350,5214719
1989,636314428,134828128,100,100,94.5846993694554,65.572827671772,37.0990014553772,12737375,8891791,5110822
1990,640910717,134081431,100,100,93.2132154894959,64.6789241747278,36.6596798743755,12524434,8732880,5021819
1991,646909341,131335728,100,100,91.9871643169018,63.8519019894693,36.2520113987457,12287474,8556552,4924235
1992,643484376,127170152,100,100,90.8061699151208,63.0278913866282,35.8345712790309,12031948,8369807,4822014
1993,634136603,122501304,100,100,89.6149297633393,62.1669269953594,35.3811834030102,11771485,8182418,4719768
1994,624099120,118667146,100,100,88.5109388334697,61.2486836995449,34.8705942747083,11535752,8001161,4618891
1995,617210388,116651519,100,100,86.8884948047868,60.1654403387581,34.2976384810513,11250402,7816881,4520949
1996,605391194,116997065,100,100,85.0532633361465,58.9715239965707,33.6683154069885,10963891,7637721,4426355
1997,602482114,119212313,100,100,83.2227458336425,57.6937641791132,32.978076473791,10702063,7462425,4330968
1998,605861925,122492635,100,100,81.2287356911551,56.3119642520371,32.2313547972015,10435290,7282913,4232566
1999,610542256,125657308,100,100,78.8736372083844,54.8012491059175,31.4502249595431,10134284,7093757,4133450
2000,613223960,127866913,100,100,76.4125953654666,53.2081199657726,30.6219689401175,9830662,6900487,4031852
2001,620292907,128699281,100,100,73.8055992527687,51.5214435811917,29.7032836106486,9518669,6701494,3922126
2002,623063570,128646987,100,100,71.1044759943941,49.7792770994171,28.7445228485129,9203619,6501060,3810434
2003,622852808,128091609,100,100,68.379422298624,48.0342184853321,27.7880945179865,8892680,6304636,3701483
2004,622783084,127636203,100,100,65.9156554923339,46.3495108029135,26.8540447670377,8620572,6118668,3596816
2005,625168317,127730664,100,100,63.0090217272524,44.5970635861651,25.9507110544936,8291570,5924108,3496333
2006,629527865,128472683,100,100,60.4279135996212,42.9595825650069,25.0993875244331,8004477,5743284,3401819
2007,634381950,129704075,100,100,57.9175970878136,41.3643356179466,24.2953221128684,7722695,5564666,3311805
2008,639846880,131195513,100,100,55.6453089746226,39.8640461989133,23.5287720292558,7467678,5394153,3224291
2009,645205660,132610671,100,100,53.1683081745555,38.3908121532042,22.7910324587393,7175177,5221508,3137714
2010,650191040,133705694,100,100,51.2765903472925,37.073030614791,22.0903354320757,6954607,5064250,3053073
2011,656354082,134360805,100,100,48.9802791513183,35.7308872345494,21.413858420928,6669992,4898020,2968892
2012,660742512,134737763,100,100,47.1186537888182,34.5311762648592,20.7773311512185,6437832,4747024,2888009
2013,663816886,134908721,100,100,45.3972973139941,33.4190860249638,20.179368252814,6219259,4604608,2810759
2014,666321101,135001291,100,100,43.8241730392741,32.3857164798501,19.6153387431337,6016433,4470235,2736699
2015,668813375,135113145,100,100,42.3861212483667,31.4314799052114,19.1065037663284,5828265,4344235,2668852
2016,671002368,135272678,100,100,41.0747051740162,30.5728210245266,18.6252359026066,5654005,4229089,2603364
2017,672854303,135452113,100,100,39.7965233024324,29.6999848383418,18.1512598314897,5480743,4109700,2537500
2018,674409490,135616051,100,100,38.6383721452308,28.9109375970314,17.7160226100362,5321518,4000115,2475924
