"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
2010,1239562506,629419560,100,100,8.99127316319692,5.27119372248025,3.73979261205681,1122529,665312,457217
2011,1246028960,633155682,100,100,8.85675554085197,5.1761766077016,3.69972938585219,1111499,657166,454334
2012,1254333494,638524239,100,100,8.37995500105071,4.84917921673504,3.54798057799586,1058521,620769,437752
2013,1264590382,645333012,100,100,8.12982373338345,4.67306158574827,3.47299165150944,1035432,604549,430883
2014,1276415597,653061883,100,100,8.01517268889973,4.58480130552814,3.44617139447996,1030586,600208,430378
2015,1287914765,660738702,100,100,7.87050765248598,4.47782800136545,3.40793981947116,1021268,593063,428205
2016,1298814884,667703800,100,100,7.70457537554847,4.36331679967678,3.35590143698972,1008256,583955,424301
2017,1311300506,674733973,100,100,7.60311916314138,4.29146398130586,3.32592828326765,1004505,580365,424140
2018,1324453104,680947810,100,100,7.24324122238229,4.06097393801281,3.19524308325616,966077,554188,411889
2019,1336530462,685205805,100,100,7.11609781323819,3.98199958927912,3.14662809574391,957328,546786,410541
2020,1347380672,688149030,100,100,6.93149346806277,3.86227340905039,3.08112018758292,939454,532592,406861
2021,1356763267,690145217,100,100,7.01504309564438,3.91076307573709,3.11646778705556,957004,540856,416147
2022,1363927904,689997298,100,100,7.15001739802656,3.99682035743727,3.16585037581995,980053,552663,427389
2023,1366807024,687024329,100,100,6.83767519593581,3.78897965456355,3.0602909214105,938317,521612,416704
2024,1365752679,682277775,100,100,6.65597439158405,3.67830086048487,2.98866674656489,911997,502849,409147
