"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"World","2003","637593383","315426996","100","100","10.6986919121088","6.59353109900963","4.13240797358677","684147","417331","266816"
"Adhoc","2004","3630998","2023089","100","100","10.2040070666121","5.72478825923064","4.50500903018511","3775","2323","1452"
"World","2004","635763738","315705995","100","100","10.7357335511522","6.581618589108","4.18163690120609","685177","416943","268234"
"Adhoc","2005","3784919","2095421","100","100","10.273695341816","5.7673625808091","4.5324731772076","3959","2424","1535"
"World","2005","633804104","316689379","100","100","10.2135465439703","6.20144824475313","4.03713437912649","650573","394008","256565"
"Adhoc","2006","3961732","2179174","100","100","10.4112096887697","5.84289877326579","4.5951599700559","4196","2554","1642"
"World","2006","633206921","318216850","100","100","9.79903488257594","5.90515960186971","3.91700582526589","624185","376937","247248"
"Adhoc","2007","4049077","2213303","100","100","10.5576939464689","5.9170131584282","4.66830319949958","4345","2627","1718"
"World","2007","634091127","319767095","100","100","9.53748531815501","5.70797196958672","3.85149758884645","608680","366089","242591"
"Adhoc","2008","4139339","2249077","100","100","10.6487472770211","5.96903372581633","4.70781465565925","4477","2693","1784"
"World","2008","635695788","321496168","100","100","9.54453929840282","5.69087565769026","3.87571988063745","610986","366963","244023"
"Adhoc","2009","4280887","2311933","100","100","10.5742902016861","5.91257284248772","4.68944403866777","4593","2742","1851"
"World","2009","637958287","323483654","100","100","9.2510367507963","5.47265022191946","3.79917810175851","594438","355034","239404"
"Adhoc","2010","4385732","2353326","100","100","10.2846861005389","5.74550465106228","4.56541204561878","4572","2712","1860"
"World","2010","640658100","325246410","100","100","8.91353862672473","5.21931477903933","3.71360632807708","575100","340401","234699"
"Adhoc","2011","4517795","2408692","100","100","9.86761047458884","5.49201680602685","4.39975720909681","4513","2653","1860"
"World","2011","644005771","327154702","100","100","8.77458617632509","5.12115169953307","3.67224057786838","569081","335942","233139"
"Adhoc","2012","4661670","2469952","100","100","9.34558885655434","5.18299171084762","4.18428425632315","4405","2567","1838"
"World","2012","648305500","329923835","100","100","8.306965393583","4.80040806892967","3.5234714253141","542274","317516","224758"
"Adhoc","2013","4775583","2517905","100","100","9.65129326526715","5.40256859657982","4.27180337947603","4661","2728","1933"
"World","2013","653637226","333468882","100","100","8.0578506133524","4.62537613455717","3.4484247402908","530396","309199","221197"
"Adhoc","2014","4901408","2577717","100","100","9.6422827910152","5.4203121264105","4.2449797799825","4779","2802","1977"
"World","2014","659722151","337467360","100","100","7.94124065438584","4.53614119105661","3.42061585982974","527696","306856","220840"
"Adhoc","2015","5003883","2630211","100","100","9.85923457714954","5.56387873057121","4.31938839982529","4990","2935","2055"
"World","2015","665511113","341385637","100","100","7.79656939302997","4.42967559861531","3.38187440092605","522719","303117","219602"
"Adhoc","2016","5079917","2673982","100","100","9.75349796864267","5.50094700201185","4.27607341989029","5012","2950","2062"
"World","2016","671025812","344965346","100","100","7.6307253028457","4.3155495351972","3.32954458222275","515875","298387","217489"
"Adhoc","2017","5174156","2732646","100","100","7.96532133192918","4.3689752005429","3.61212742653399","4160","2393","1767"
"World","2017","677410535","348602217","100","100","7.52777636796353","4.24312972903021","3.29864321000319","513744","296462","217283"
"Adhoc","2018","5280385","2798103","100","100","8.15423237544843","4.47336750612882","3.69740471944861","4348","2509","1839"
"World","2018","684060293","351735238","100","100","7.17464545938329","4.01716994990552","3.17021078497802","494207","283165","211043"
"Adhoc","2019","5397863","2866728","100","100","8.49161329423309","4.66689229693059","3.84265425082536","4631","2682","1949"
"World","2019","690161570","353781564","100","100","7.04725655367566","3.93848865590521","3.12106015779638","489523","279223","210301"
"Adhoc","2020","5532302","2941824","100","100","9.77028207554198","5.42405241804257","4.36993239989985","5469","3200","2269"
"World","2020","695568576","355085984","100","100","6.86585686898045","3.82107915240642","3.05645667947213","480334","271882","208453"
"Adhoc","2021","5631727","2994150","100","100","10.4494929974716","5.81275889755058","4.66384390004774","5957","3491","2466"
"World","2021","700149011","355851875","100","100","6.94666346918371","3.86860658605818","3.09001091972058","488969","275864","213106"
"Adhoc","2022","5680237","3015407","100","100","9.81280169860477","5.40914358589012","4.42760767838906","5636","3271","2365"
"World","2022","703526640","355520356","100","100","7.07747820523896","3.95284264160549","3.13703577240284","500304","281620","218685"
"Adhoc","2023","5763457","3053283","100","100","10.056177950415","5.54580720807963","4.53552388338034","5860","3396","2464"
"World","2023","704708022","353739156","100","100","6.77224202721594","3.75009881239281","3.03351921161599","479067","265810","213258"
"Adhoc","2024","5888529","3112693","100","100","10.1722901052456","5.60638140757336","4.59165124584707","6055","3500","2555"
"World","2024","703809475","351087911","100","100","6.59336766704754","3.64148583283648","2.96267035634101","465472","256163","209310"
