"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Oceania (exc. Australia and New Zealand)","1955","338133","184319","0","0",,,,,,
"Australia and New Zealand","1955","1069635","599459","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1955","64968841","35783442","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1955","22304577","11996167","0","0",,,,,,
"World","1955","293348765","160631793","0.7","0.7",,,,,,
"Least developed countries","1956","27834597","14875180","7.74","7.71",,,,,,
"Landlocked developing countries","1956","13992506","7726945","0","0",,,,,,
"Small island developing States","1956","2870768","1549989","0","0",,,,,,
"Europe and Northern America","1956","65217966","36487115","0","0",,,,,,
"Northern America","1956","17559661","9741722","0","0",,,,,,
"Europe","1956","47658305","26745394","0","0",,,,,,
"Latin America and the Caribbean","1956","24614431","13477894","0","0",,,,,,
"Central and Southern Asia","1956","64871144","35345067","0","0",,,,,,
"Central Asia","1956","1907855","1181340","0","0",,,,,,
"Southern Asia","1956","62963289","34163727","0","0",,,,,,
"Eastern and South-Eastern Asia","1956","107176958","60244393","0","0",,,,,,
"Eastern Asia","1956","84513386","47894297","0","0",,,,,,
"South-Eastern Asia","1956","22663572","12350096","0","0",,,,,,
"Northern Africa and Western Asia","1956","13987561","7823304","0","0",,,,,,
"Western Asia","1956","6864250","3808715","0","0",,,,,,
"Northern Africa","1956","7123311","4014589","0","0",,,,,,
"Sub-Saharan Africa","1956","25037705","13424577","8.6","8.54",,,,,,
"Oceania","1956","1465448","807790","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1956","347829","190072","0","0",,,,,,
"Australia and New Zealand","1956","1117620","617718","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1956","66335586","37104833","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1956","23011401","12540168","0","0",,,,,,
"World","1956","302371212","167610139","0.7","0.7",,,,,,
"Least developed countries","1957","28481491","15212754","7.79","7.72",,,,,,
"Landlocked developing countries","1957","14420256","7995557","0","0",,,,,,
"Small island developing States","1957","2951568","1597112","0.72","0.72",,,,,,
"Europe and Northern America","1957","66956436","37125961","0","0",,,,,,
"Northern America","1957","18120137","9844740","0","0",,,,,,
"Europe","1957","48836299","27281222","0","0",,,,,,
"Latin America and the Caribbean","1957","25459910","13987257","0","0",,,,,,
"Central and Southern Asia","1957","67172568","37016592","0","0",,,,,,
"Central Asia","1957","2033970","1284620","0","0",,,,,,
"Southern Asia","1957","65138598","35731972","0","0",,,,,,
"Eastern and South-Eastern Asia","1957","111625536","63265242","0","0",,,,,,
"Eastern Asia","1957","88155754","50310926","0","0",,,,,,
"South-Eastern Asia","1957","23469782","12954317","0","0",,,,,,
"Northern Africa and Western Asia","1957","14573515","8153100","0","0",,,,,,
"Western Asia","1957","7136291","3966672","0","0",,,,,,
"Northern Africa","1957","7437224","4186429","0","0",,,,,,
