"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Landlocked developing countries","1956","13873886","7672856","0","0",,,,,,
"Small island developing States","1956","2777359","1504451","0","0",,,,,,
"Europe and Northern America","1956","63467819","35345973","0","0",,,,,,
"Northern America","1956","17143084","9491815","0","0",,,,,,
"Europe","1956","46324736","25854159","0","0",,,,,,
"Latin America and the Caribbean","1956","24105559","13262011","0","0",,,,,,
"Central and Southern Asia","1956","61616268","33481092","0","0",,,,,,
"Central Asia","1956","1822417","1140192","0","0",,,,,,
"Southern Asia","1956","59793851","32340900","0","0",,,,,,
"Eastern and South-Eastern Asia","1956","101071199","57146648","0","0",,,,,,
"Eastern Asia","1956","78434559","44946891","0","0",,,,,,
"South-Eastern Asia","1956","22636640","12199757","0","0",,,,,,
"Northern Africa and Western Asia","1956","13284160","7430416","0","0",,,,,,
"Western Asia","1956","6439213","3606158","0","0",,,,,,
"Northern Africa","1956","6844947","3824259","0","0",,,,,,
"Sub-Saharan Africa","1956","24933883","13394423","8.88","8.72",,,,,,
"Oceania","1956","1381545","763967","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1956","313596","173894","0","0",,,,,,
"Australia and New Zealand","1956","1067949","590074","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1956","64535768","35936047","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1956","22950236","12373650","0","0",,,,,,
"World","1956","289860432","160824530","0.8","0.7",,,,,,
"Least developed countries","1957","28109931","15064740","8.08","7.91",,,,,,
"Landlocked developing countries","1957","14303136","7939857","0","0",,,,,,
"Small island developing States","1957","2857877","1553039","0.73","0.73",,,,,,
"Europe and Northern America","1957","65044240","35941391","0","0",,,,,,
"Northern America","1957","17699584","9622606","0","0",,,,,,
"Europe","1957","47344656","26318785","0","0",,,,,,
"Latin America and the Caribbean","1957","24979596","13767402","0","0",,,,,,
"Central and Southern Asia","1957","63662894","34917729","0","0",,,,,,
"Central Asia","1957","1947501","1245547","0","0",,,,,,
"Southern Asia","1957","61715393","33672182","0","0",,,,,,
"Eastern and South-Eastern Asia","1957","105659587","60332253","0","0",,,,,,
"Eastern Asia","1957","82321795","47612308","0","0",,,,,,
"South-Eastern Asia","1957","23337792","12719945","0","0",,,,,,
"Northern Africa and Western Asia","1957","13850055","7760611","0","0",,,,,,
"Western Asia","1957","6706134","3768610","0","0",,,,,,
"Northern Africa","1957","7143921","3992001","0","0",,,,,,
"Sub-Saharan Africa","1957","25526523","13705528","8.9","8.7",,,,,,
"Oceania","1957","1437904","781967","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1957","325877","182377","0","0",,,,,,
"Australia and New Zealand","1957","1112028","599590","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1957","66156267","36540981","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1957","23663669","12902321","0","0",,,,,,
"World","1957","300160797","167206879","0.8","0.7",,,,,,
"Least developed countries","1958","28794162","15465107","8.69","8.51",,,,,,
"Landlocked developing countries","1958","14788235","8204590","1.29","1.3",,,,,,
"Small island developing States","1958","2943397","1602334","0.88","0.9",,,,,,
"Europe and Northern America","1958","67086769","36422311","0","0",,,,,,
"Northern America","1958","18232407","9779501","0","0",,,,,,
"Europe","1958","48854362","26642810","0","0",,,,,,
"Latin America and the Caribbean","1958","25886460","14260052","0","0",,,,,,
"Central and Southern Asia","1958","65922109","36531473","0","0",,,,,,
"Central Asia","1958","2113694","1343316","0","0",,,,,,
"Southern Asia","1958","63808416","35188157","0","0",,,,,,
"Eastern and South-Eastern Asia","1958","110820635","63520948","0","0",,,,,,
"Eastern Asia","1958","86668902","50209946","0","0",,,,,,
"South-Eastern Asia","1958","24151733","13311002","0","0",,,,,,
"Northern Africa and Western Asia","1958","14460799","8103006","0","0",,,,,,
"Western Asia","1958","7006696","3934601","0","0",,,,,,
"Northern Africa","1958","7454103","4168406","0","0",,,,,,
"Sub-Saharan Africa","1958","26145232","14067509","9.58","9.38",,,,,,
"Oceania","1958","1493636","800019","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1958","339258","191266","0","0",,,,,,
"Australia and New Zealand","1958","1154378","608753","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1958","68241147","37031064","0","0",,,,,,
