"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
1992,645675820,129855563,100,100,92.3143158227767,63.2937276698335,35.8404553719418,12389589,8503824,4873738
1993,642256957,128912465,100,100,91.1219738203928,62.489763312194,35.3390977073369,12110950,8316173,4770864
1994,637723204,128461695,100,100,89.3829695399659,61.3969497138321,34.7611308557448,11806667,8136167,4675533
1995,631274797,128222748,100,100,87.4938880121994,60.2294104692418,34.1225552346784,11507720,7960602,4579747
1996,626383367,127921065,100,100,86.4429124342356,59.4609676670292,33.454400285643,11321635,7838752,4472920
1997,624491763,127694401,100,100,84.3288156212468,58.1473952043814,32.7370374115921,11012861,7643613,4366305
1998,623492514,127662576,100,100,82.7847975357647,57.0448552988612,31.9764062893647,10796617,7491667,4262160
1999,623184104,127899706,100,100,79.4455123780776,55.1252178081802,31.193252041335,10361554,7240967,4163876
2000,624708130,129464289,100,100,76.6823740729383,53.2582460568201,30.2944355875123,10063220,7067875,4094729
2001,626061567,129559092,100,100,74.3284118018462,51.8629827650964,29.4739087278518,9790280,6896569,3974645
2002,628915784,129758471,100,100,71.3086307544061,49.8968094712449,28.5469962330755,9396996,6642455,3850828
2003,632373814,130206938,100,100,68.3339189976357,47.9973199011011,27.5952044244996,9030237,6404671,3731312
2004,636440873,131140416,100,100,65.8397625492193,46.262709799641,26.6539916805072,8753237,6210630,3627990
2005,639759300,131881732,100,100,62.3255091457823,44.1402853310279,25.7870018087459,8332937,5955812,3524990
2006,643631640,133191690,100,100,59.5597369466135,42.3498098804668,24.9401418649309,8020449,5762991,3441435
2007,648499453,134734906,100,100,56.9534048571878,40.6742284034049,24.137198402352,7748784,5594471,3365983
2008,654783226,136569284,100,100,54.6946546505211,39.187065212978,23.37853201835,7530708,5454569,3302718
2009,661822876,137967088,100,100,52.9163866882926,37.9934085180954,22.7399388784275,7353914,5337455,3240326
2010,668734403,138611221,100,100,50.5894219532135,36.6720603811993,22.1283416614731,7078368,5179379,3162467
2011,675340899,139176364,100,100,49.5124372336392,35.869774320733,21.5464614975158,6954774,5084156,3090023
2012,682560519,141224919,100,100,46.7050038863185,34.0274451663183,20.7849412735309,6642496,4891278,3025245
2013,686845626,140738748,100,100,45.0603670791954,33.0629059734213,20.3343498943158,6423316,4741301,2939572
2014,691041254,140959185,100,100,43.9157168429837,32.1126247819121,19.7283116542713,6267968,4615491,2857070
2015,693244389,140268819,100,100,42.8756030904384,31.4732867040534,19.4165192139927,6096386,4489571,2793488
2016,695617763,140697132,100,100,41.7225493325267,30.6108726925975,18.9420077297948,5945046,4381681,2735251
2017,695379825,139833432,100,100,40.8870927169558,30.0217393172539,18.5737010537547,5810440,4273580,2659746
2018,692015599,136956736,100,100,39.9617980023049,29.6032586128679,18.5437057745853,5569452,4115163,2595079
2019,687902215,135155938,100,100,39.5659274896375,29.1980042400948,18.2799719318089,5434923,4009979,2526769
2020,680133763,131727522,100,100,39.155846777982,29.1045122882045,18.2376301894199,5260398,3892530,2450965
2021,671473691,130147541,100,100,39.6078027619603,29.2596276019211,18.0496459308294,5229575,3857906,2402287
2022,661036002,129219679,100,100,39.9769923889103,29.3055666390039,17.8512741669633,5222371,3833690,2358911
2023,652281906,128833896,100,100,38.334492480559,28.3614490240423,17.5585209590517,4985215,3699467,2313882
2024,645810209,129091563,100,100,37.3671659203614,27.6794645601969,17.195127080039,4857797,3619746,2271170
