"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
"World","1989","636696900","134508510","100","100","95.4226901874975","65.2170775138185","37.2050931721894","13115235","9056428","5267155"
"Adhoc","1990","2441197","574953","100","100","181.384583734027","145.886979922913","75.7612442115946","109714","89023","48171"
"World","1990","645057886","135854691","100","100","93.5154895927483","63.9902775216954","36.56216734361","12970030","8974730","5220443"
"Adhoc","1991","2455082","577743","100","100","175.173283456266","141.446336095942","74.2435395576095","108203","88121","47455"
"World","1991","646591146","132018963","100","100","92.9413542565319","64.0312084329549","36.2780236267188","12742757","8782492","4998448"
"Adhoc","1992","2571564","605500","100","100","169.131970216607","137.155966064041","72.7025047737965","107134","87667","48474"
"World","1992","645675820","129855563","100","100","92.3143158227767","63.2937276698335","35.8404553719418","12389589","8503824","4873738"
"Adhoc","1993","2941666","692120","100","100","163.536368993548","133.140778099207","71.2238201843902","112102","93130","53874"
"World","1993","642256957","128912465","100","100","91.1219738203928","62.489763312194","35.3390977073369","12110950","8316173","4770864"
"Adhoc","1994","3325916","779229","100","100","158.272356260917","129.432086012369","69.8112340768749","121014","102212","59227"
"World","1994","637723204","128461695","100","100","89.3829695399659","61.3969497138321","34.7611308557448","11806667","8136167","4675533"
"Adhoc","1995","3552851","825612","100","100","153.384824820441","125.993360765069","68.4293413383042","127147","108036","61381"
"World","1995","631274797","128222748","100","100","87.4938880121994","60.2294104692418","34.1225552346784","11507720","7960602","4579747"
"Adhoc","1996","3728376","858437","100","100","148.773595776565","122.712453510687","67.1213833919938","129830","110096","62470"
"World","1996","626383367","127921065","100","100","86.4429124342356","59.4609676670292","33.454400285643","11321635","7838752","4472920"
"Adhoc","1997","3889210","887533","100","100","144.409539644964","119.643452464143","65.9052818896082","131427","111060","63274"
"World","1997","624491763","127694401","100","100","84.3288156212468","58.1473952043814","32.7370374115921","11012861","7643613","4366305"
"Adhoc","1998","4034697","912379","100","100","140.162392712438","116.63217056999","64.6912276630214","132074","111367","63685"
"World","1998","623492514","127662576","100","100","82.7847975357647","57.0448552988612","31.9764062893647","10796617","7491667","4262160"
"Adhoc","1999","4180361","939333","100","100","135.95363948867","113.639605913837","63.4104018514492","132007","111445","64152"
"World","1999","623184104","127899706","100","100","79.4455123780776","55.1252178081802","31.193252041335","10361554","7240967","4163876"
"Adhoc","2000","4313183","963469","100","100","131.707237184146","110.603975959455","62.1767781942732","131354","111260","64358"
"World","2000","624708130","129464289","100","100","76.6823740729383","53.2582460568201","30.2944355875123","10063220","7067875","4094729"
"Adhoc","2001","4228588","937797","100","100","127.479861753329","107.512738990769","60.8814641647189","127295","107744","61286"
"World","2001","626061567","129559092","100","100","74.3284118018462","51.8629827650964","29.4739087278518","9790280","6896569","3974645"
"Adhoc","2002","4304102","947805","100","100","123.07344698106","104.260840308817","59.566755103664","122282","103524","60414"
"World","2002","628915784","129758471","100","100","71.3086307544061","49.8968094712449","28.5469962330755","9396996","6642455","3850828"
"Adhoc","2003","4595069","1002431","100","100","118.547496515675","100.837861029169","58.2389484192512","121205","103395","62166"
"World","2003","632373814","130206938","100","100","68.3339189976357","47.9973199011011","27.5952044244996","9030237","6404671","3731312"
"Adhoc","2004","4753520","1027932","100","100","113.944019411896","97.3627813123189","56.8315390344041","120521","103674","62167"
"World","2004","636440873","131140416","100","100","65.8397625492193","46.262709799641","26.6539916805072","8753237","6210630","3627990"
"Adhoc","2005","4796759","1030934","100","100","109.329354079257","93.791288585041","55.3912282931171","117157","101149","60722"
"World","2005","639759300","131881732","100","100","62.3255091457823","44.1402853310279","25.7870018087459","8332937","5955812","3524990"
"Adhoc","2006","4935098","1055444","100","100","104.807773175688","90.2835707486462","53.9272668175941","113826","98594","60370"
"World","2006","643631640","133191690","100","100","59.5597369466135","42.3498098804668","24.9401418649309","8020449","5762991","3441435"
"Adhoc","2007","5028178","1071268","100","100","100.374320591923","86.7943855783983","52.4467817694136","111047","96476","59501"
"World","2007","648499453","134734906","100","100","56.9534048571878","40.6742284034049","24.137198402352","7748784","5594471","3365983"
"Adhoc","2008","4952264","1060720","100","100","96.0869144510174","83.4041354141807","50.9108746303443","106838","92961","57329"
"World","2008","654783226","136569284","100","100","54.6946546505211","39.187065212978","23.37853201835","7530708","5454569","3302718"
"Adhoc","2009","5085671","1093346","100","100","91.880708966742","80.0632513671524","49.4368416723862","103298","90225","57170"
"World","2009","661822876","137967088","100","100","52.9163866882926","37.9934085180954","22.7399388784275","7353914","5337455","3240326"
"Adhoc","2010","5178168","1116095","100","100","87.9567152953438","76.920192612085","47.9600667446601","101132","88792","56581"
"World","2010","668734403","138611221","100","100","50.5894219532135","36.6720603811993","22.1283416614731","7078368","5179379","3162467"
"Adhoc","2011","5263636","1137636","100","100","84.2932228716154","73.9725418269641","46.5383953019793","98754","87055","55900"
"World","2011","675340899","139176364","100","100","49.5124372336392","35.869774320733","21.5464614975158","6954774","5084156","3090023"
"Adhoc","2012","5462345","1179371","100","100","80.8145093811917","71.172647894543","45.1786735828009","97116","86028","56111"
"World","2012","682560519","141224919","100","100","46.7050038863185","34.0274451663183","20.7849412735309","6642496","4891278","3025245"
"Adhoc","2013","5611864","1209463","100","100","77.5974987280598","68.5872985593622","43.8979564694923","95929","85355","55859"
"World","2013","686845626","140738748","100","100","45.0603670791954","33.0629059734213","20.3343498943158","6423316","4741301","2939572"
"Adhoc","2014","5751649","1236012","100","100","74.6140734121312","66.1745928669577","42.7010783916124","94378","84224","55455"
"World","2014","691041254","140959185","100","100","43.9157168429837","32.1126247819121","19.7283116542713","6267968","4615491","2857070"
"Adhoc","2015","5927883","1268026","100","100","71.898430064046","63.9966766602932","41.5445481726564","93060","83317","55262"
"World","2015","693244389","140268819","100","100","42.8756030904384","31.4732867040534","19.4165192139927","6096386","4489571","2793488"
"Adhoc","2016","6008834","1280968","100","100","69.3718842033517","61.9475292982151","40.4426967793266","91394","82006","54314"
