"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","Under.five.deaths.median","Infant.deaths.median"
"Adhoc",2008,2548134,543398,100,100,100.456856352918,87.8226407330799,57531,50414
"World",2008,337920172,70258262,100,100,56.7239286776532,41.5744567737131,4042114,2993491
"Adhoc",2009,2603633,557840,100,100,96.2773652989224,84.4603795047422,55719,48991
"World",2009,341634172,71097607,100,100,54.9365648534422,40.3322597564283,3951475,2930975
"Adhoc",2010,2645214,567681,100,100,92.2921088181469,81.230080030035,54609,48231
"World",2010,345303748,71525639,100,100,52.573462721423,38.9279132362581,3806177,2843263
"Adhoc",2011,2713706,583469,100,100,88.5825923054528,78.1891803043438,53408,47336
"World",2011,348687805,71753845,100,100,51.5117481023769,38.0971444059698,3743060,2791816
"Adhoc",2012,2800285,601635,100,100,85.1272505105642,75.3708072142867,52619,46835
"World",2012,352041339,72462260,100,100,48.6995672431704,36.200712614248,3583193,2690308
"Adhoc",2013,2873092,615934,100,100,81.8426966128471,72.7476460870072,52019,46518
"World",2013,354848986,72795851,100,100,47.097317155759,35.2361118684327,3470598,2610824
"Adhoc",2014,2953443,631694,100,100,78.956807546035,70.3500645705761,51291,45967
"World",2014,356718074,72645401,100,100,45.9490575901444,34.2589000949845,3388675,2542623
"Adhoc",2015,3019422,643312,100,100,76.2004563816446,68.0749075590253,50651,45511
"World",2015,357938737,72496238,100,100,44.937437499732,33.6008915478198,3299087,2474228
"Adhoc",2016,3065852,650839,100,100,73.6357369155216,65.9797564866124,49778,44814
"World",2016,358792297,72418119,100,100,43.7866584331918,32.705615131702,3220367,2415991
"Adhoc",2017,3121121,661114,100,100,71.299690641811,64.0669142799613,48827,44032
"World",2017,358724678,72252781,100,100,42.9831229390052,32.1264758218674,3150019,2357699
"Adhoc",2018,3180869,672324,100,100,68.9972746038117,62.2264213074568,47979,43392
"World",2018,357121326,71112828,100,100,42.1137891667911,31.73943305111,3024891,2274040
"Adhoc",2019,3242702,684157,100,100,66.9013764196953,60.4445640112639,47242,42817
"World",2019,354508279,69909523,100,100,41.7394959212479,31.3490783396187,2954417,2218091
"Adhoc",2020,3311748,697785,100,100,64.7890146099634,58.7516902919328,46544,42324
"World",2020,350606990,68459599,100,100,41.4311686303805,31.3426134198979,2862680,2155251
"Adhoc",2021,3355687,704953,100,100,62.7360090133867,57.0063627300286,45836,41780
"World",2021,345352278,67075482,100,100,41.9356732695266,31.529632961842,2845374,2135838
"Adhoc",2022,3366274,706684,100,100,60.8142059936,55.2976012380081,44924,40970
"World",2022,339669380,66478172,100,100,42.3290118338431,31.5842674685176,2840631,2121878
"Adhoc",2023,3400600,715587,100,100,58.8176259029378,53.6095325531193,43720,39916
"World",2023,334811553,66118208,100,100,40.6932872800053,30.6353875986907,2717711,2051589
"Adhoc",2024,3462499,728932,100,100,56.9907731194502,51.9949487823512,42806,39111
"World",2024,331170022,66106761,100,100,39.7096685169472,29.9321319451066,2651159,2009053
