"UNCode","CountryName","Code","ISO3Code","UNICEFCode","MDGRegion1","MDGRegion1excl","MDGRegion2","MDGRegion3","MDGRegion4","MDGRegion5","UNICEFRegion1","UNICEFRegion2","UNICEFRegion3","UNICEFRegion4","UNICEFRegion5","UNICEFRegion6","WHORegion1","WBRegion1","WBRegion2","WBRegion3","WBRegion4","UNPDRegion1","UNPDRegion2","UNPDRegion3","UNPDRegion4","UNPDRegion5","OICRegion1","OICRegion2","OICRegion3","OICRegion4","Countdown.and.COIA.75.Priority.Countries","ECAAfrica","AURegion1","AURegion2","FragileCountries2013","FragileCountries2014","FragileCountries2015","USAIDcountry","M49Region1","M49Region2","M49Region3","UNICEFCountry","pop01950","pop01951","pop01952","pop01953","pop01954","pop01955","pop01956","pop01957","pop01958","pop01959","pop01960","pop01961","pop01962","pop01963","pop01964","pop01965","pop01966","pop01967","pop01968","pop01969","pop01970","pop01971","pop01972","pop01973","pop01974","pop01975","pop01976","pop01977","pop01978","pop01979","pop01980","pop01981","pop01982","pop01983","pop01984","pop01985","pop01986","pop01987","pop01988","pop01989","pop01990","pop01991","pop01992","pop01993","pop01994","pop01995","pop01996","pop01997","pop01998","pop01999","pop02000","pop02001","pop02002","pop02003","pop02004","pop02005","pop02006","pop02007","pop02008","pop02009","pop02010","pop02011","pop02012","pop02013","pop02014","pop02015","pop02016","pop02017","pop02018","pop02019","pop02020","pop02021","pop02022","pop02023","pop02024","pop02025","pop02026","pop02027","pop02028","pop02029","pop02030","pop02031","pop02032","pop02033","pop02034","pop02035","pop02036","pop02037","pop02038","pop02039","pop02040","pop02041","pop02042","pop02043","pop02044","pop02045","pop02046","pop02047","pop02048","pop02049","pop02050","pop1to41950","pop1to41951","pop1to41952","pop1to41953","pop1to41954","pop1to41955","pop1to41956","pop1to41957","pop1to41958","pop1to41959","pop1to41960","pop1to41961","pop1to41962","pop1to41963","pop1to41964","pop1to41965","pop1to41966","pop1to41967","pop1to41968","pop1to41969","pop1to41970","pop1to41971","pop1to41972","pop1to41973","pop1to41974","pop1to41975","pop1to41976","pop1to41977","pop1to41978","pop1to41979","pop1to41980","pop1to41981","pop1to41982","pop1to41983","pop1to41984","pop1to41985","pop1to41986","pop1to41987","pop1to41988","pop1to41989","pop1to41990","pop1to41991","pop1to41992","pop1to41993","pop1to41994","pop1to41995","pop1to41996","pop1to41997","pop1to41998","pop1to41999","pop1to42000","pop1to42001","pop1to42002","pop1to42003","pop1to42004","pop1to42005","pop1to42006","pop1to42007","pop1to42008","pop1to42009","pop1to42010","pop1to42011","pop1to42012","pop1to42013","pop1to42014","pop1to42015","pop1to42016","pop1to42017","pop1to42018","pop1to42019","pop1to42020","pop1to42021","pop1to42022","pop1to42023","pop1to42024","pop1to42025","pop1to42026","pop1to42027","pop1to42028","pop1to42029","pop1to42030","pop1to42031","pop1to42032","pop1to42033","pop1to42034","pop1to42035","pop1to42036","pop1to42037","pop1to42038","pop1to42039","pop1to42040","pop1to42041","pop1to42042","pop1to42043","pop1to42044","pop1to42045","pop1to42046","pop1to42047","pop1to42048","pop1to42049","pop1to42050"
388,"Jamaica",124,"JAM","JAM","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Caribbean","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Caribbean",1,19894,21017,22137,23262,24373,25448,26892,28254,29489,30552,31410,31923,32248,32429,32532,32615,32599,32560,32473,32296,31999,31482,30884,30260,29682,29197,28756,28381,28194,28343,28911,29964,31420,32932,34016,34337,33885,32714,31186,29816,28982,28676,28880,29402,29958,30322,30388,30303,30023,29513,28768,27782,26557,25272,24165,23408,23066,23094,23312,23450,23323,22748,21889,21008,20471,20528,21412,22867,24467,25623,25935,25139,23533,21502,19618,18310,17785,17820,18194,18568,18687,18465,18020,17444,16886,16449,16159,15971,15857,15771,15677,15572,15468,15357,15235,15098,14944,14772,14585,14388,14188,74906,77281,79872,82664,85748,89071,93895,98744,103491,108052,112371,115111,118298,121627,124734,127276,128562,129676,130569,131071,130953,129474,127820,125928,123923,121985,119539,117584,116210,115555,115510,114603,115543,117512,119251,119997,123985,124580,122780,120511,119380,117289,116351,116479,116942,117261,118348,118875,118832,118305,117329,116331,114232,111429,108444,105527,100425,97076,94890,92976,90841,90524,88929,86593,84681,84029,83211,84288,86684,89023,90428,94487,95045,93061,90327,88078,83187,80213,78683,77395,75564,74574,73064,71097,69171,67643,66557,65431,64379,63406,62583,62274,61809,61251,60685,60199,60032,59630,59075,58446,57821
392,"Japan",180,"JPN","JPN","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Western Pacific","High income: OECD","","High income","","Asia","","More developed regions","More developed regions","","","","","","","","","","","","","","Asia","Eastern Asia","",1,1209947,1031265,901567,810291,751472,720121,715242,724592,744543,771448,801602,829950,855988,878696,897557,912478,917643,916291,913900,918452,934981,969668,1016887,1062000,1085164,1073183,1017175,927263,822893,732169,675436,664114,686564,727235,762864,776711,763006,729061,683817,640887,610301,594440,589610,592562,598064,602141,605453,607989,609041,607977,604445,597478,587590,576382,566163,558619,555126,554220,554862,555415,554617,552949,550021,546014,541302,536206,531399,526155,520667,515207,510000,505752,501763,498050,494596,491369,488908,486605,484405,482225,480001,478188,476238,474180,472043,469863,468131,466270,464302,462330,460472,459213,457856,456430,454926,453282,451858,450148,448206,446097,443872,4400930,4567434,4485898,4337734,4170024,3984100,3626933,3420997,3308591,3235962,3163206,3140289,3138060,3146332,3172245,3222932,3363427,3446271,3496734,3548763,3627118,3677145,3770868,3886230,3975211,4009608,4117556,4081673,3944649,3782917,3644488,3343250,3184835,3127638,3089800,3015145,3019015,2963117,2860743,2757145,2683679,2600817,2542069,2507618,2482263,2455271,2434454,2421348,2411327,2402591,2394468,2400760,2392910,2376134,2356635,2336605,2298366,2271491,2251247,2231962,2212564,2211984,2204656,2193167,2181016,2169567,2161023,2148832,2134147,2117703,2100202,2079727,2061346,2044388,2027849,2010832,1994235,1979605,1966272,1953748,1941633,1933283,1924429,1915322,1906322,1897665,1891531,1884782,1877541,1870105,1862821,1856309,1849921,1843729,1837595,1831091,1825605,1819572,1812962,1805767,1797870
398,"Kazakhstan",140,"KAZ","KAZ","Caucasus and Central Asia","Caucasus and Central Asia","Developing regions","","","","CEE/CIS","CEE/CIS","","Developing countries","","","Europe","Upper middle income","Europe and Central Asia","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Asia/other","OIC Upper middle income","OIC Middle income","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Central Asia","",1,124898,109379,104643,106458,112354,120642,129962,139309,148209,156514,164105,172141,178557,182487,182956,179558,172761,162047,150366,141683,138731,144087,155087,168719,180668,187856,189044,185760,180082,175130,173234,175173,179655,185757,192081,197432,201856,205502,206978,204561,197271,186246,170839,153167,136211,122275,112325,105598,102251,102161,105156,109449,116754,126257,136794,147381,157278,166690,175406,183291,190154,195614,200056,202641,202464,199163,192796,183427,173008,164157,158691,158020,160723,165255,169269,171051,169793,166468,162071,158106,155697,155294,156327,158376,160790,163069,165165,167155,169013,170749,172364,173889,175206,176258,176988,177361,177431,177150,176525,175573,174321,257182,331663,364728,388130,413107,446867,475679,510235,547022,582049,612450,640515,668132,692079,708432,713622,718322,708990,689411,668366,652307,619882,611966,621644,635521,644151,675116,688647,689462,688405,693176,690939,695483,705725,717350,727678,742254,754910,763170,763860,755059,756821,738110,704277,664313,625705,574826,534316,504585,483627,469450,448995,445106,453910,470685,490602,518633,546385,573009,600726,633881,682816,723010,757255,784737,802670,807416,803072,790981,774790,756850,717181,695176,685141,678121,667671,668227,661833,650329,639258,632629,627992,625607,625937,627790,630732,637564,644184,650687,657498,664934,674103,682040,688976,694991,700144,704399,707358,709050,709377,708192
400,"Jordan",55,"JOR","JDN","Western Asia","Western Asia","Developing regions","","","","Middle East and North Africa","Middle East and North Africa","","Developing countries","","Middle East","Eastern Mediterranean","Upper middle income","Middle East and North Africa","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Arab","OIC Upper middle income","OIC Middle income","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Western Asia","",1,10000,10413,10712,11124,11788,12766,14133,15728,17446,19125,20607,22086,23354,24638,26249,28389,30008,32112,34396,36488,38140,40570,42626,44204,45208,45605,45139,44141,43070,42545,43015,44400,46826,49747,52356,54067,54625,54315,53776,53925,55422,57857,61502,65646,69230,71463,73926,75133,75401,75243,75091,74521,73993,73883,74646,76550,78485,81506,85188,88959,92379,96262,99736,102442,103962,104056,103589,101701,98983,96256,94128,93153,92812,92944,93242,93471,93082,92692,92375,92241,92371,92547,92962,93515,94085,94576,95017,95363,95612,95783,95884,95998,96027,95952,95748,95400,94987,94443,93801,93114,92421,34321,38669,40952,42587,44308,46483,48808,52325,56577,60947,64805,69908,74152,78118,83062,90293,98966,107430,115667,123157,129404,137741,144790,150502,154981,158814,166317,169816,170983,172207,175281,175718,179342,185215,191489,197355,207894,214586,219511,225365,232927,230553,235073,243301,250789,254683,265910,272768,276191,278379,281071,284684,286384,287568,290432,297536,305664,315656,327708,340568,352327,362795,374030,384510,392443,396527,402725,404370,402169,397947,393115,384831,379074,375323,372450,369849,368559,366987,365446,364661,365107,366186,367336,368736,370303,371990,374305,376201,377732,379014,380166,381563,382550,383145,383314,383025,382653,381747,380371,378620,376545
404,"Kenya",16,"KEN","KEN","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Eastern Africa","","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","","","Africa","Lower middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Excluding least developed countries","Excluding China","","","","","Countdown","Eastern Africa","Africa","Eastern Africa","Non-fragile","Non-fragile","Non-fragile","USAID","Africa","Eastern Africa","",1,131689,135855,140504,145280,150032,154719,158701,162896,167443,172541,178380,184577,191581,199184,207083,215044,222035,229196,236823,245312,254935,265144,276528,288671,301023,313172,323796,334260,344926,356326,368793,381813,395698,409806,423306,435531,445954,455466,463384,468949,471828,470425,466797,463096,462292,466562,479373,496926,517809,539809,561080,580221,598664,616113,632380,647420,660215,671922,682681,692856,702790,711301,719774,728255,736801,745450,753957,762668,771560,780537,789503,798161,806858,815790,825213,835283,845936,857233,868889,880526,891846,902631,913128,923272,933042,942431,951502,960198,968512,976463,984068,991633,998891,1005768,1012171,1018041,1023709,1028870,1033694,1038400,1043144,398416,433408,460489,483218,503698,524784,549485,570145,588847,607547,627908,649401,670932,693191,716593,741946,773369,801421,828078,856271,888773,926262,963707,1002196,1042237,1084884,1135224,1180549,1223189,1266689,1314356,1365548,1416169,1466699,1516608,1565927,1620431,1667437,1708146,1743160,1773461,1806052,1824124,1832418,1838579,1848330,1849943,1869322,1903278,1945570,1992752,2064767,2131168,2193757,2256764,2324197,2406837,2475696,2535616,2591375,2647420,2699033,2745734,2789037,2829538,2867846,2901537,2934292,2966225,2997574,3028977,3065692,3098829,3130007,3161815,3196876,3240164,3280980,3320840,3361106,3403594,3455864,3502367,3545108,3586345,3628328,3675724,3717723,3755939,3791906,3827186,3864764,3898646,3929662,3958434,3985673,4015147,4040782,4063481,4084493,4104948
408,"Korea DPR",94,"PRK","DRK","Eastern Asia","Eastern Asia excluding China","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","South-East Asia","Low income","East Asia and Pacific","Low income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","","","","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Eastern Asia","",1,155631,115679,79602,57337,55837,78357,122670,179186,235542,278646,296701,274725,228967,172605,127243,110269,131968,181137,242303,295336,326599,325842,306525,273493,235262,199902,169041,140471,118509,108036,111784,134044,171071,213287,248020,266616,261773,241450,212779,186852,172239,173198,185061,202736,218643,227313,227338,220765,210295,199986,192831,189918,189908,191383,192192,190840,186756,180749,174278,169403,167548,169573,174464,180733,186251,189484,189701,187698,184365,181081,178866,178213,178515,179313,179902,179765,178880,177367,175385,173191,170982,168937,166881,164883,163019,161342,160011,158896,158013,157358,156920,156779,156836,157024,157242,157415,157530,157584,157539,157368,157061,611522,584361,516461,447112,413626,427563,387423,433201,526409,619236,683789,832586,873564,839333,792684,781664,686108,688033,762175,847499,903794,1023084,1074292,1069938,1041125,1010277,945843,874677,805682,745303,698105,609835,594378,628174,673911,706602,813919,852917,843869,825367,824940,788265,783837,804458,826396,833729,855058,858929,847846,833445,823621,805882,794760,789148,783181,772867,766595,754110,737356,721717,710887,695453,690760,694046,699570,703685,719720,726569,726766,725449,726188,723601,723039,724141,724699,723252,721578,718612,714221,708907,702884,695857,688549,681056,673423,665682,657651,650587,644339,638812,633989,630659,628016,626015,624619,623873,625208,625907,626186,626299,626474
410,"Korea Rep",97,"KOR","KOR","Eastern Asia","Eastern Asia excluding China","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","High income: OECD","","High income","","Asia","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Eastern Asia","",1,351229,331523,318834,311284,307342,305992,304813,306127,309041,313005,317678,330901,343686,355763,367280,378629,394718,408894,421572,432750,441961,448301,452647,453700,449700,439803,423088,400728,377468,359850,352352,358460,375038,395318,409753,411742,396227,368235,335852,310957,301934,315379,344187,378651,405181,414290,399823,369067,329179,291214,263679,250194,246716,250224,255799,259798,260802,260628,259520,257865,255832,252708,248894,244722,240797,237645,235812,234848,234497,234369,234177,234025,233711,233509,233801,234793,236948,239662,242209,243602,243157,240881,236844,231460,225378,219145,213174,207102,201425,196744,193456,192182,192352,193507,194941,196115,197166,197928,198397,198652,198774,1241173,1256179,1239781,1214685,1207420,1241846,1311925,1373195,1433559,1493967,1551874,1564169,1621798,1709759,1796764,1841117,1768425,1754880,1768827,1785025,1787288,1785604,1788247,1788552,1782934,1769597,1774226,1749666,1707248,1664595,1632960,1563552,1538581,1543283,1549783,1539870,1569105,1550904,1499840,1447718,1414739,1337189,1320466,1344789,1373160,1386307,1475473,1493272,1461381,1417804,1385000,1270461,1210112,1191894,1181951,1148174,1084895,1035170,986663,941732,911403,940743,946527,942207,939595,944043,948319,951714,955256,957420,957738,952916,950824,950209,950411,950560,947792,949477,953449,956772,957349,962994,961354,953923,943075,930228,912814,894470,875777,857200,838912,815672,800120,790125,782894,776520,777452,777555,777117,777254,778886
414,"Kuwait",56,"KWT","KWT","Western Asia","Western Asia","Developing regions","","","","Middle East and North Africa","Middle East and North Africa","","Developing countries","","Middle East","Eastern Mediterranean","High income: nonOECD","","High income","","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Arab","OIC High income: nonOECD","OIC High income","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Western Asia","",1,2874,2974,3108,3233,3336,3426,3434,3502,3685,4051,4655,5223,6042,7025,8053,9044,10236,11350,12474,13737,15218,17226,19393,21508,23325,24687,24705,24277,23637,23145,23080,23821,24964,26187,27039,27188,26896,25985,24483,22549,20427,18973,17314,15896,15219,15600,16329,18140,20501,22603,23842,23764,22813,21646,21183,22052,24073,27317,31156,34691,37252,38233,38224,37522,36648,36025,36607,37404,38182,38603,38441,37700,36435,34924,33548,32592,32217,32264,32580,32922,33112,33160,33079,32930,32819,32822,32978,33224,33537,33881,34226,34604,34978,35323,35607,35806,35945,35993,35964,35875,35747,9376,10029,10876,11804,12525,12830,12841,12945,13264,14134,16047,18495,21486,25091,29052,32963,37302,41745,46253,50891,55522,58543,63375,69378,75451,80580,84586,86848,87424,87399,88075,89638,91586,93900,95950,97546,103751,106756,107032,105049,100669,90787,83515,78409,75211,73802,68563,68518,72043,76649,80132,85029,86888,86875,87536,90584,89345,92936,99996,107915,115005,126531,133665,137207,139224,141378,144302,147045,149739,151575,151988,152684,151762,149532,146846,144202,139414,136388,134630,133238,131623,131358,130717,129832,129147,128979,129554,130143,130855,131702,132733,134209,135651,137060,138391,139610,141015,142068,142815,143317,143589
417,"Kyrgyzstan",141,"KGZ","KIR","Caucasus and Central Asia","Caucasus and Central Asia","Developing regions","","","","CEE/CIS","CEE/CIS","","Developing countries","","","Europe","Lower middle income","Europe and Central Asia","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Asia/other","OIC Low income","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Central Asia","",1,22560,23597,25460,27715,30058,32277,34168,35840,37325,38711,40084,41268,42426,43362,43835,43713,42829,41352,39823,38977,39307,41537,44908,48692,51883,53793,53900,52806,51199,50076,50159,51848,54630,58013,61296,63943,65823,67134,67784,67702,66895,65591,63613,61330,59232,57663,56376,55717,55395,55001,54283,53335,52119,51132,51011,52158,54523,57961,62206,66869,71590,76496,81496,85695,87985,87688,83960,77762,70508,64253,60516,60327,62635,66342,69791,71773,71719,70308,68136,66112,64919,64812,65441,66549,67739,68710,69418,69947,70312,70560,70731,70849,70860,70776,70607,70371,70107,69784,69399,68942,68407,57119,67159,74830,82131,89868,98809,109673,119183,127701,135723,143899,151389,158338,164684,169837,173238,175419,175471,173976,172390,171699,167572,168858,173930,179610,183477,191711,195170,195102,194723,196727,198091,202245,208825,216122,222943,232998,240788,246309,249979,252274,255982,255801,253046,249512,246726,240727,236614,233947,231005,225918,219452,212605,205479,199872,198090,201548,207116,215271,225936,238859,255101,271995,288577,302712,312994,326711,329265,323789,315594,308280,287717,277827,275577,274993,271890,274473,273149,268716,264300,262113,260685,260216,260927,262109,263490,266904,269572,271651,273533,275520,278098,279852,280984,281650,281975,281803,281344,280579,279445,277906
418,"Lao PDR",87,"LAO","LAO","South-eastern Asia","South-eastern Asia","Developing regions","","Least developed countries","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","Least developed countries","","Western Pacific","Lower middle income","East Asia and Pacific","Middle income","Low and middle income","Asia","","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","South-Eastern Asia","",1,30057,32221,33928,35214,36114,36664,36740,36736,36760,36947,37432,38266,39462,40901,42409,43846,44997,46077,47169,48387,49805,51382,53176,54960,56440,57422,58362,58880,59252,59858,60978,61967,63457,65409,67735,70345,72934,75730,78593,81354,83852,86185,88268,89795,90406,89904,88158,85458,82270,79276,77015,75916,75528,75900,76999,78728,80784,83470,86296,88605,89941,89791,88692,87099,85696,84998,85202,86083,87278,88259,88636,88230,87271,85970,84643,83531,82733,82131,81680,81295,80909,80527,80160,79807,79472,79155,78870,78591,78299,77970,77582,77158,76679,76145,75560,74931,74297,73624,72925,72217,71516,103045,107270,112130,116532,120289,123873,129724,133160,135272,137138,139576,141564,144081,147174,150562,154173,159311,163535,167266,171260,176186,182598,188738,194550,199598,203669,210473,214771,217558,220420,224774,228516,232920,238217,244469,251842,260317,268941,277710,286635,295873,308078,318187,326378,332563,336885,343190,344110,341058,336080,330753,321548,314773,310286,307619,306571,306673,309319,313713,318744,323754,334284,339449,340980,341603,343395,342515,343450,345747,347827,348611,349989,349629,347790,345369,342955,339449,336352,333618,330951,328181,325727,323380,321112,319007,317160,316191,314970,313606,312203,310881,310149,308965,307451,305719,303860,302003,299898,297592,295129,292540
422,"Lebanon",58,"LBN","LEB","Western Asia","Western Asia","Developing regions","","","","Middle East and North Africa","Middle East and North Africa","","Developing countries","","Middle East","Eastern Mediterranean","Upper middle income","Middle East and North Africa","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Arab","OIC Upper middle income","OIC Middle income","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Western Asia","",1,22185,24927,27401,29425,30873,31674,31591,31199,30706,30403,30588,31618,33165,34895,36322,37106,37247,36765,36004,35425,35343,35743,36610,37657,38480,38797,39337,39389,39125,38802,38606,38240,38034,37842,37457,36762,35530,34039,32626,31720,31587,31681,32568,33791,34730,34968,34504,33358,31996,31024,30805,30443,30926,31644,31798,30940,29339,26732,24286,23448,25126,29042,35460,42844,48849,51771,53484,52137,48824,45214,42491,41559,41384,41655,41847,41586,40062,38260,36355,34618,33256,32025,31185,30619,30158,29680,29188,28687,28210,27805,27506,27338,27249,27228,27255,27317,27435,27575,27723,27860,27975,70467,75829,82826,89873,96380,102687,111481,116858,120220,122979,126021,126142,128459,132184,135588,137322,139829,140530,139837,139159,139713,140432,142128,144458,146291,146624,148400,149008,148646,148044,147838,146809,146199,145758,144846,142976,140737,136975,132442,128783,127712,126853,127763,130176,132525,133114,133496,131602,128244,125600,126003,128299,130500,132720,133505,131290,129569,123872,115991,110751,113438,120915,134354,153076,171259,181778,190806,194582,192214,186301,179617,170716,164665,160798,157582,154492,154636,152354,148779,145478,143366,139683,136497,133905,131420,128588,124900,121701,118758,116052,113610,111837,110289,108983,107974,107344,107702,107943,108162,108453,108915
426,"Lesotho",6,"LSO","LES","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","South Africa","Least developed countries","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Lower middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","Southern Africa","Africa","Southern Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Southern Africa","",1,13171,13083,13106,13227,13432,13715,14062,14453,14872,15294,15699,16013,16311,16606,16922,17277,17585,17943,18340,18767,19212,19651,20112,20605,21145,21742,22211,22732,23275,23801,24279,24737,25158,25515,25775,25920,25926,25829,25695,25625,25688,25927,26279,26687,27059,27328,27763,28107,28301,28281,28011,27336,26447,25514,24773,24400,24444,24841,25505,26300,27107,27823,28548,29200,29686,29942,29897,29627,29216,28791,28456,28263,28161,28128,28118,28094,28040,27981,27927,27888,27876,27866,27877,27903,27935,27969,27979,27991,27997,27991,27968,27915,27844,27764,27674,27582,27486,27388,27286,27183,27072,45559,47338,48232,48792,49337,50080,51084,52086,53093,54132,55294,57115,58496,59625,60755,62121,63798,65233,66542,67837,69277,71210,72852,74393,76067,78112,80480,82632,84646,86587,88562,91298,93400,95025,96354,97622,99462,100527,101114,101590,102216,102401,103045,103936,104717,105124,106373,107318,107945,108231,108207,108652,107894,106347,104694,103465,101002,99887,99892,100515,101419,103096,104917,106764,108573,110337,113214,114745,115322,115477,115615,114966,114526,114258,113948,113447,112724,112117,111568,111100,110725,110580,110397,110212,110084,110079,110383,110533,110593,110624,110695,110897,110927,110834,110677,110501,110281,110001,109668,109292,108882
428,"Latvia",160,"LVA","LAT","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: nonOECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Northern Europe","",1,16185,15697,15507,15537,15725,16020,16350,16697,17022,17295,17489,17527,17469,17322,17109,16850,16570,16227,15933,15837,16030,16685,17640,18652,19383,19609,19231,18357,17304,16520,16322,16852,17898,19252,20608,21726,22572,23210,23437,23008,21807,20012,17487,14666,12115,10228,9059,8565,8606,8943,9385,9943,10613,11295,11870,12255,12382,12307,12044,11631,11113,10412,9603,8837,8319,8181,8479,9161,10016,10740,11119,11040,10621,9992,9356,8860,8555,8383,8311,8278,8241,8191,8149,8120,8113,8135,8186,8257,8337,8408,8459,8478,8477,8457,8432,8403,8377,8349,8318,8283,8245,61885,62413,62105,61757,61804,62476,63190,64217,65413,66606,67725,68930,69740,70200,70366,70260,69709,69016,68261,67678,67420,66530,67140,68728,70329,71221,73570,74025,73180,72278,72175,70289,70557,72458,74928,77180,80168,82892,84946,85707,84553,84292,80598,74407,67550,61692,54282,48990,45625,43279,41068,38956,38069,37906,38173,38773,41636,43163,43778,44000,44246,44386,43725,42659,41627,40885,38187,37419,37925,38678,38976,40580,40925,40319,39474,38875,37764,36897,36279,35696,35016,34210,33597,33110,32740,32474,32389,32370,32409,32498,32640,33019,33251,33388,33485,33592,33634,33654,33658,33629,33553
430,"Liberia",33,"LBR","LBR","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","West Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","West Africa","Africa","Western Africa","Fragile","Fragile","Fragile","USAID","Africa","Western Africa","",1,15041,16403,17502,18402,19140,19732,20027,20297,20569,20879,21270,21697,22253,22912,23635,24389,25034,25731,26486,27316,28232,29119,30098,31148,32251,33385,34335,35270,36270,37452,38858,40540,42434,44135,45125,45098,45151,44361,43025,41537,40218,38221,36453,35470,35956,38356,40505,44570,49489,53801,56507,59120,60127,60240,60464,61456,62526,64280,66340,68197,69530,70929,71873,72570,73302,74250,75444,76826,78317,79790,81157,82325,83413,84462,85534,86675,87888,89166,90476,91770,93012,94190,95322,96396,97407,98349,99228,100039,100811,101577,102362,103222,104107,104985,105817,106571,107268,107894,108481,109076,109713,57984,57262,58142,59503,61116,63081,66725,69048,70640,72124,74052,76382,78379,80293,82265,84522,87454,89987,92359,94864,97798,101470,104809,108052,111441,115261,119953,123881,127466,131385,136272,142088,148203,154068,158167,158941,160336,159283,155986,151509,147305,143754,138485,133609,132441,138519,146264,157445,171583,185442,195243,206084,213143,216896,220137,226046,233936,242090,250742,258831,265000,269946,274156,277531,280514,283705,287368,291397,295781,300367,305071,310924,316000,320584,325113,329967,335259,340323,345285,350183,355109,360575,365576,370231,374663,379007,383700,387828,391550,395064,398543,402087,405518,408855,412049,415102,418649,421712,424428,427024,429690
434,"Libya",57,"LBY","LBY","Northern Africa","Northern Africa","Developing regions","North Africa","","","Middle East and North Africa","Middle East and North Africa","Africa","Developing countries","","North Africa","Eastern Mediterranean","Upper middle income","Middle East and North Africa","Middle income","Low and middle income","Africa","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Arab","OIC Upper middle income","OIC Middle income","","North Africa","Africa","Northern Africa","Fragile","Fragile","Fragile","","Africa","Northern Africa","",1,19476,21152,22371,23315,24100,24809,25113,25549,26158,26988,28090,29401,31022,32930,35076,37412,39796,42339,44931,47432,49740,51543,53162,54610,55924,57150,58241,59248,60184,61059,61870,62184,62387,62548,62778,63148,64520,66053,67311,67713,66896,64470,60916,56977,53708,51890,52025,53598,56051,58548,60467,61562,62043,62262,62745,63840,65961,68636,71240,72916,73095,72526,70559,67827,65198,63281,61179,59806,58972,58395,57863,57371,56988,56651,56281,55817,55230,54526,53801,53185,52776,52654,52724,52934,53208,53481,53791,54093,54354,54547,54649,54700,54647,54494,54253,53937,53609,53212,52752,52234,51668,70054,71136,73651,76334,78983,81886,86126,89122,91674,94537,98293,102472,107073,112302,118264,125142,133252,141620,150283,159225,168500,178918,188021,196111,203601,210862,217379,223157,228489,233568,238507,242047,245240,247878,249932,251383,253162,255652,258322,259898,259515,261576,258652,252262,245261,239640,229054,224101,223450,224288,224671,229188,231983,233566,235808,240107,246207,253597,261532,267836,270867,277531,278624,275705,271817,269475,262449,257285,253646,250355,246436,240861,236359,232501,228971,225571,223895,221487,218668,216046,214090,212732,211778,211263,211051,211096,211968,212828,213666,214482,215280,216575,217394,217817,217919,217739,217267,216550,215580,214309,212677
