"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
"Upper middle income","1975","112212788","21920136","96.65","96.37","95.8708008368258","70.1663996227509","2207003","1586357"
"High income","1975","41148738","8106278","99.44","99.41","22.7620008710204","18.844160626616","185558","152953"
"Low and middle income","1975","221496885","46491927","96.87","96.81","150.126529589898","95.2731205729081","7271514","4632022"
"World","1975","266639194","55510295","97.3","97.2","133.747462672694","85.2261677649391","7666022","4908819"
"Low income","1976","15475794","3535715","97.11","97.06","218.071683747039","121.338474049893","801369","456087"
"Lower middle income","1976","96220140","21506718","97.62","97.64","186.197754762281","111.237818948783","4219529","2551990"
"Upper middle income","1976","109505592","21252033","98.56","98.44","89.8869212201304","67.1959679016836","2006092","1473055"
"High income","1976","40617795","8006742","99.42","99.4","21.8110187139643","18.0443582930487","175745","144831"
"Low and middle income","1976","221201526","46294466","98.05","97.96","145.652132990657","92.4278449429835","7026990","4481132"
"World","1976","265914745","55241596","98.3","98.2","129.444678742806","82.5307264847752","7385950","4736894"
"Low income","1977","15812355","3620732","97.05","97","214.9956594397","119.929612175468","807787","461700"
"Lower middle income","1977","98263857","21902520","97.62","97.64","180.663760743786","108.295803216311","4165681","2527805"
"Upper middle income","1977","106812611","20768780","98.7","98.6","85.9441029578604","64.6805786984376","1866270","1380810"
"High income","1977","40168004","7986944","99.41","99.39","20.7925699973671","17.1777853962548","167071","137766"
"Low and middle income","1977","220888823","46292031","98.1","98.02","142.063385576115","90.3284623334931","6839738","4370315"
"World","1977","265250067","55242971","98.3","98.3","126.308552157326","80.5940960837683","7195378","4622378"
"Low income","1978","16214598","3725597","96.89","96.84","211.371644766387","118.18992622311","814366","467410"
"Lower middle income","1978","100257643","22286033","98.16","98.17","175.667688380884","105.718458633555","4114604","2506289"
"Upper middle income","1978","104156757","20501343","98.82","98.77","82.2985941375697","62.0882975837542","1758462","1312630"
"High income","1978","39860928","7962179","99.4","99.39","19.8761424697182","16.4034275338154","159383","131381"
"Low and middle income","1978","220628998","46512972","98.38","98.33","138.576435988485","87.972447570604","6687432","4286329"
"World","1978","264777769","55457348","98.6","98.5","123.336996876043","78.6506385767678","7039195","4533977"
"Low income","1979","16689285","3852604","96.59","96.56","207.355699522199","116.25671105662","823061","475399"
"Lower middle income","1979","102345309","22768451","99.26","99.21","169.898678509945","102.903175082353","4046519","2488750"
"Upper middle income","1979","102411394","20865297","98.79","98.78","78.2796725319089","59.2694236396571","1687704","1278164"
"High income","1979","39653479","7972389","99.39","99.38","19.0442691647095","15.7124397292349","152884","126081"
"Low and middle income","1979","221445987","47486352","98.84","98.81","133.854109819948","85.1945760383558","6557284","4242313"
"World","1979","265477406","56456997","98.9","98.9","119.416180228524","76.3203853322974","6905276","4485917"
"Low income","1980","17130615","3966421","96.4","96.37","206.719867611818","116.27094882601","848152","491841"
"Lower middle income","1980","104667514","23323454","99.96","99.95","165.379634752458","100.377599051295","4022325","2483234"
"Upper middle income","1980","102067057","21382048","98.92","98.9","74.6464755042942","56.73573703686","1635799","1251532"
"High income","1980","39601531","8042762","99.39","99.39","18.2700415647173","15.0553731279133","147566","121827"
"Low and middle income","1980","223865185","48671922","99.21","99.2","130.090222779373","82.9601101305552","6506276","4226607"
"World","1980","267901457","57721784","99.2","99.2","116.273535019947","74.4369652678761","6850519","4466771"
"Low income","1981","17482934","4042489","96.41","96.38","205.63646195736","115.556779428475","867880","502206"
"Lower middle income","1981","107143935","23871600","99.96","99.95","160.711186808509","97.8218774087972","3992772","2475547"
"Upper middle income","1981","102830155","21848191","99.01","99","71.0097396693994","54.2652172311466","1584326","1222901"
"High income","1981","39620294","7997467","99.99","99.99","17.5720392744048","14.4820220974486","141784","117019"
"Low and middle income","1981","227457024","49762279","99.25","99.24","126.233067888284","80.5717429532168","6444978","4200654"
"World","1981","271626543","58790287","99.4","99.4","113.104632547623","72.5022603498369","6782812","4435543"
"Low income","1982","17888247","4119664","96.44","96.4","203.889106563499","114.058079306199","881089","503533"
"Lower middle income","1982","109709619","24388112","99.95","99.94","156.329537691222","95.4228286410848","3965392","2464338"
"Upper middle income","1982","104807538","22620962","99.41","99.45","67.6188795146955","51.8921585756927","1557915","1212926"
"High income","1982","39653426","7959278","99.99","99.99","16.8795084971114","13.8978067914144","136281","112441"
"Low and middle income","1982","232405403","51128738","99.44","99.44","122.159264403084","77.9415717415865","6404396","4180797"
"World","1982","276765596","60153296","99.5","99.5","109.803313801798","70.36357678678","6737601","4412633"
"Low income","1983","18396771","4223054","99.57","99.56","200.891594093606","112.450055332595","884600","504603"
"Lower middle income","1983","112350388","24890653","99.95","99.95","152.013332401393","93.0858906374286","3935267","2451603"
"Upper middle income","1983","106946659","22561130","99.44","99.47","64.9873712766171","50.3887811215427","1494878","1164952"
"High income","1983","39734939","7993868","99.99","99.99","16.2738563240715","13.4117163320331","131215","108211"
"Low and middle income","1983","237693817","51674836","99.69","99.71","119.062508304475","76.8208191625222","6314745","4121158"
"World","1983","282228294","60751682","99.7","99.7","108.618398681894","70.0970243365847","6734951","4399195"
"Low income","1984","18916714","4335860","99.57","99.56","196.810221391282","110.039769047376","887646","505785"
