"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
"World","2002","621412543","128435584","100","100","71.2347971263134","49.9480422323548","28.9653495132334","9290543","6575223","3867042"
"Adhoc","2003","4539030","995136","100","100","118.508076504992","83.7153806849194","58.8841752775787","118000","84428","62426"
"World","2003","624821777","128889442","100","100","68.3501595502204","48.144749423324","27.9675450804544","8941003","6356099","3742301"
"Adhoc","2004","4733777","1029573","100","100","114.038248221243","80.8856842912321","57.4729372561868","118750","86200","62958"
"World","2004","628984613","129838438","100","100","65.8415029457804","46.4628125655749","27.0157013070681","8664717","6171622","3639943"
"Adhoc","2005","4791127","1033555","100","100","109.493199069469","78.0052377559467","56.0201737159538","116210","84519","61541"
"World","2005","632453594","130603587","100","100","62.9233359046096","44.6972560448438","26.1059958553534","8331577","5970081","3532785"
"Adhoc","2006","4918305","1065570","100","100","104.969474866301","75.1354651837677","54.5858252764953","113847","82960","61952"
"World","2006","636181022","131748238","100","100","60.3234602301765","43.0122839792139","25.2211835893732","8043121","5788775","3440922"
"Adhoc","2007","5031323","1090023","100","100","100.565930085643","72.3218079668384","53.1286206792448","112170","81928","61397"
"World","2007","641094986","133386527","100","100","57.7760584435039","41.3997895743029","24.4076785446667","7779847","5630039","3369878"
"Adhoc","2008","5034660","1046268","100","100","96.3411311411319","69.6266836134885","51.6455134618416","106703","77273","56447"
"World","2008","647199701","135103961","100","100","55.5256677182426","39.9165564365664","23.5976277408774","7566748","5495913","3296204"
"Adhoc","2009","5116765","1063311","100","100","92.2569453069606","67.0473778291791","50.1602358961901","101659","73614","56527"
"World","2009","653942298","136324081","100","100","53.1011475735413","38.5016778694495","22.9274574314732","7298979","5342796","3226584"
"Adhoc","2010","5172472","1085971","100","100","88.3773883896315","64.5840631881988","48.7282043921849","99252","72704","55863"
"World","2010","660562885","136956829","100","100","51.2343944270323","37.3258994164396","22.3150766109869","7082406","5204241","3150573"
"Adhoc","2011","5218499","1098869","100","100","84.7387890491944","62.2570732058725","47.3225930871703","96199","70993","54731"
"World","2011","666963189","137543794","100","100","49.3396139265162","36.1239729165823","21.7204755456877","6848570","5054539","3077015"
"Adhoc","2012","5319787","1149063","100","100","81.3406760354024","60.0910178752669","45.9885170229683","94537","70669","55877"
"World","2012","674061590","139504605","100","100","47.40856966473","34.7353666412788","20.9728732271113","6656920","4927108","3013597"
"Adhoc","2013","5439975","1185480","100","100","78.1599775992065","58.0699480438279","44.7011707963759","93805","70906","55737"
"World","2013","678645484","139209597","100","100","45.825487081508","33.8298041132143","20.5143870940905","6453366","4789825","2932564"
"Adhoc","2014","5593229","1212722","100","100","75.2827304475694","56.242053893765","43.5078519019555","92584","70288","55396"
"World","2014","683057422","139458909","100","100","44.2517218331721","32.6870251796952","19.8800449056131","6244394","4641785","2847106"
"Adhoc","2015","5766943","1251191","100","100","72.6769805471921","54.5873152241597","42.3639686983098","91818","70068","55657"
"World","2015","685260246","138638779","100","100","43.0679080969483","31.9701738965218","19.520541730472","6049534","4502563","2774696"
"Adhoc","2016","5899156","1259272","100","100","70.234208475956","53.0360729477152","41.2978425436621","90442","69144","54310"
"World","2016","687842623","139137765","100","100","41.7600532245935","31.0384338204498","19.019874831903","5869293","4384107","2715417"
"Adhoc","2017","6036223","1275127","100","100","67.9116096202484","51.5394130650341","40.2782090942162","88444","67644","53610"
"World","2017","688154745","138838550","100","100","40.5640626612763","30.2249210730851","18.580076845177","5695681","4260488","2641963"
"Adhoc","2018","6156598","1298478","100","100","65.7521046783529","50.1379645469581","39.2773652648905","87019","66824","53204"
"World","2018","685628115","136276952","100","100","39.994938725557","29.9671356986122","18.4853516437924","5523940","4136699","2573463"
"Adhoc","2019","6269863","1320969","100","100","63.6159390183058","48.7516624642182","38.2897062001653","85625","66092","52703"
"World","2019","682330776","134537614","100","100","39.2617327537137","29.4180609512977","18.1503079184892","5350031","4014557","2497174"
"Adhoc","2020","6378022","1345219","100","100","61.5579880340045","47.380947589011","37.3520963245522","84225","65340","52327"
"World","2020","676208173","131971868","100","100","38.6982943397207","29.1117519958738","17.9619578962262","5179349","3893719","2420360"
"Adhoc","2021","6507503","1381653","100","100","59.6075508091117","46.0669377546478","36.4168990955819","83288","64996","52411"
"World","2021","669226595","130659241","100","100","38.0534421647545","28.6348887054536","17.6741781674833","5027244","3788127","2360922"
"Adhoc","2022","6616220","1395411","100","100","57.6796842555121","44.7681337847283","35.4898110817888","81903","64145","51315"
"World","2022","661348540","130568760","100","100","37.1182507360704","27.9434714101937","17.2695591727288","4891204","3697047","2307147"
