"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
"World","1953","380275266","87901777","49.7","48.9",,,,,,
"Africa","1954","43323335","10508062","29.66","29.35",,,,,,
"Northern Africa","1954","9996882","2447644","18.64","17.87",,,,,,
"Southern Africa","1954","2656757","606268","9.4","9.47",,,,,,
"Eastern Africa","1954","12944354","3092275","43.08","42.91",,,,,,
"Western Africa","1954","12954524","3207305","28.95","28.75",,,,,,
"Middle Africa","1954","4770818","1154570","29.5","29.49",,,,,,
"Asia","1954","240336766","56021902","50.04","50.31","249.561336369939","158.574127111767","25.2220991848267",,,
"Eastern Asia","1954","114728356","25942203","12.89","11.29",,,,,,
"Central Asia","1954","3005882","696760","0","0",,,,,,
"Southern Asia","1954","83241517","20021438","94.4","94.26","273.337842806407","172.791151208494","22.5218839970533",,"3800753","895891"
"South-Eastern Asia","1954","30298446","7173030","70.81","70.77","224.765949601037","144.385466310341","50.2563325892946",,"1102396","457485"
"Western Asia","1954","9062565","2188471","60.01","59.78","275.457436072938","185.872431375861","0.865371163758085",,"443908","3414"
"Americas","1954","51775120","11526980","86.24","86.13","122.883904924166","90.2213236435018","14.3176515151426",,"1088518","292958"
"Northern America","1954","20365290","4358850","100","100","34.3621021179745","29.5548673207154","0",,"130146","0"
"Latin America and the Caribbean","1954","31409830","7168130","77.31","77.7","192.006394663259","134.156736375023","24.6866753018114",,"1030087","283623"
"Central America","1954","7917119","1826568","77.79","77.6","202.718360379692","126.982818240291","61.5237818251993",,"250273","125200"
"South America","1954","21064044","4783209","82.59","83.22","188.218425403425","138.281671009769","12.372401033488",,"706721","107384"
"Caribbean","1954","2428667","558353","30.02","30.76",,,,,,
"Europe","1954","55589324","11463130","49.51","48.85",,,,,,
"Northern Europe","1954","6398451","1273847","91.99","91.78","31.0376899405682","26.4208646377366","0.0453033018150196",,"34410","113"
"Southern Europe","1954","10650572","2237455","78.56","77.67","73.5919339808679","57.7757289808099","0",,"134715","0"
"Eastern Europe","1954","26330098","5532520","24.41","24.14",,,,,,
"Western Europe","1954","12210203","2419308","56.01","56.12","41.2826849766677","34.6045801481244","0",,"85582","0"
"Oceania","1954","1662624","353430","98.72","98.63","84.1237153833985","62.6400413975847","0",,"22504","0"
"Australia and New Zealand","1954","1217429","249604","100","100","29.4281537572697","23.6233266481139","0",,"5971","0"
"Melanesia","1954","391332","91534","100","100","214.64977794529","155.820637166696","0",,"15302","0"
"Micronesia","1954","18367","4150","38.43","38.96",,,,,,
"Polynesia","1954","35496","8142","71.7","71.84","141.160399406736","104.070736043987","0",,"892","0"
"World","1954","392688608","89873793","52.7","52.5","215.409829310533","136.635023577847","25.1819838640787",,,
"Africa","1955","44526492","10756182","42.34","42.31",,,,,,
"Northern Africa","1955","10319092","2499827","73.05","73.19","244.297950776638","169.647448034703","0",,,
"Southern Africa","1955","2728242","620658","9.35","9.51",,,,,,
"Eastern Africa","1955","13283858","3173520","43.28","43.1",,,,,,
"Western Africa","1955","13299355","3281100","29.1","28.88",,,,,,
"Middle Africa","1955","4895945","1181077","29.45","29.37",,,,,,
"Asia","1955","248283943","57417368","50.04","50.57","242.078139225038","154.824171234396","28.1079065365146",,"9533794","2347121"
"Eastern Asia","1955","118381885","26554705","12.17","11.1",,,,,,
"Central Asia","1955","3160821","730060","0","0",,,,,,
"Southern Asia","1955","85893595","20508804","94.4","94.23","268.030367647478","169.494815193301","22.2226682832234",,"3814347","901622"
"South-Eastern Asia","1955","31490546","7394250","71.09","71.26","211.336717764033","139.793491660994","54.1340208487342",,"1104838","446152"
"Western Asia","1955","9357096","2229549","67.85","67.21","263.519323855876","176.535148541221","48.4088419476916",,"430604","138363"
"Americas","1955","53116581","11757051","89.04","89","124.700381486798","90.1686741336358","13.5900849662228",,"1107457","287861"
"Northern America","1955","20782009","4401567","100","100","33.5060888771453","28.834143311097","0",,"129291","0"
"Latin America and the Caribbean","1955","32334572","7355484","82","82.41","187.166773557657","131.363805538388","22.7178198404833",,"1033074","275922"
"Central America","1955","8155935","1872576","87.1","86.94","194.35880117475","124.632118845686","53.449258305209",,"251323","121562"
"South America","1955","21683613","4910774","86.02","86.67","186.836069057663","135.347197757166","11.6764044304289",,"709099","105963"
"Caribbean","1955","2495024","572134","30.38","31.03",,,,,,
"Europe","1955","55734806","11558342","52.87","52.4","59.7108031992547","50.3238919809327","0.745791724479124",,,
"Northern Europe","1955","6352301","1275710","91.92","91.71","29.8185643375655","25.3982886337917","0.0455093559885482",,"33020","114"
"Southern Europe","1955","10732552","2267878","78.48","77.99","70.2379782012342","55.803911606342","0",,"131547","0"
"Eastern Europe","1955","26498972","5584588","31.56","31.37",,,,,,
"Western Europe","1955","12150981","2430166","56.31","56.2","38.7915026379581","32.4845202541931","3.32164563858951",,"80683","12315"
"Oceania","1955","1703958","362321","98.7","98.63","81.9074852740225","61.0504777235125","0",,"22424","0"
"Australia and New Zealand","1955","1242996","255565","100","100","28.6766146852805","23.0931166292458","0",,"5934","0"
"Melanesia","1955","405616","94180","100","100","208.143587889066","151.559074094174","0",,"15269","0"
"Micronesia","1955","18813","4243","38.41","38.93",,,,,,
"Polynesia","1955","36533","8333","71.28","71.45","136.318402515662","100.208851600001","0",,"876","0"
"World","1955","403367237","91851553","54.9","54.9","211.201564779047","134.651715226263","27.6887345404063",,"13153759","2796194"
"Africa","1956","45753263","11010467","46.58","46.55",,,,,,
"Northern Africa","1956","10617564","2549436","74.97","75.1","308.781300537162","169.221444880238","0",,"475425","0"
"Southern Africa","1956","2805413","635037","9.37","9.56",,,,,,
"Eastern Africa","1956","13675137","3259915","48.42","48.1",,,,,,
"Western Africa","1956","13631351","3357714","36.64","36.58",,,,,,
"Middle Africa","1956","5023798","1208365","29.34","29.24",,,,,,
"Asia","1956","254680781","57420767","50.16","51.74","236.518353253652","151.429004507469","27.7661437205238",,"9356190","2312193"
"Eastern Asia","1956","120520244","25790722","11.73","11.35",,,,,,
"Central Asia","1956","3305746","767979","0","0",,,,,,
"Southern Asia","1956","88479259","20965227","94.39","94.17","262.946297344544","166.341517916627","21.9449564254858",,"3821606","907317"
"South-Eastern Asia","1956","32754441","7616312","71.21","71.67","204.516150658024","135.353071807195","52.9961147373793",,"1098579","449637"
"Western Asia","1956","9621091","2280527","70.46","69.36","254.280637343091","169.698435009141","46.2357283342697",,"423726","138691"
"Americas","1956","54580456","12059246","90.81","90.8","122.397171829653","88.2517247831588","14.2066956996298","1524298","1109535","308270"
"Northern America","1956","21295593","4510321","100","100","32.758291136853","28.2025614026509","0","148466","128591","0"
"Latin America and the Caribbean","1956","33284863","7548925","84.92","85.3","180.993306127459","127.308984700485","23.4470343699753",,"1025718","291479"
"Central America","1956","8406226","1922442","91.4","91.33","187.648607537891","122.514199694928","49.556477924238",,"252787","120111"
"South America","1956","22317066","5040963","87.64","88.2","180.839624086274","131.010528366861","13.6563097131574","956430","703705","125562"
"Caribbean","1956","2561571","585520","40.05","40.54",,,,,,
"Europe","1956","56081642","11601667","52.8","52.44","57.1764555411625","47.8100917584951","0.759195938260356",,"572284","13776"
"Northern Europe","1956","6359530","1297971","91.88","91.84","28.8020369655032","24.5544653732359","0.044331654062424","37828","32260","113"
"Southern Europe","1956","10838041","2282816","78.54","78.41","67.6299910980046","54.103748283303","0","160375","128768","0"
"Eastern Europe","1956","26729548","5554302","31.37","31",,,,,,
"Western Europe","1956","12154523","2466578","56.52","55.96","36.5017773774484","30.5472842564869","3.34654465148608","91468","76629","12554"
"Oceania","1956","1743405","371249","98.69","98.62","79.5272718865222","59.4638918808801","0","29523","22400","0"
"Australia and New Zealand","1956","1266904","261594","100","100","27.9879846222723","22.6108681540799","0","7309","5952","0"
"Melanesia","1956","419716","96800","100","100","201.666039592728","147.26565584763","0","20586","15236","0"
"Micronesia","1956","19256","4336","38.41","38.91",,,,,,
"Polynesia","1956","37529","8519","70.84","71.09","130.646143488301","96.2866871581882","0","1151","860","0"
"World","1956","412841033","92463691","55.7","56.5","207.449002097174","131.713822864836","27.3936433738027",,"12982213","2767554"
"Africa","1957","46954109","11254008","51.01","50.89","281.573394801523","153.837566697956","30.099159905086",,,
"Northern Africa","1957","10901108","2596792","93.38","93.4","299.103348778216","164.293584209533","46.0015298775032",,"469185","180484"
"Southern Africa","1957","2883202","649905","9.39","9.59",,,,,,
"Eastern Africa","1957","14040687","3334919","48.76","48.56",,,,,,
"Western Africa","1957","13972825","3434899","36.82","36.68",,,,,,
"Middle Africa","1957","5156287","1237493","29.24","29.09",,,,,,
"Asia","1957","261729120","59670634","50.69","51.46","232.46191473293","149.677867029694","27.1674861483809",,"9488593","2374827"
"Eastern Asia","1957","123251171","27185220","11.44","10.78",,,,,,
"Central Asia","1957","3467171","809040","0","0",,,,,,
"Southern Asia","1957","91001158","21421621","95.94","95.79","259.667501383845","165.094981095446","21.2971163702258",,"3870749","906113"
"South-Eastern Asia","1957","34065941","7915995","71.24","71.31","197.889637207907","131.135957463153","51.9724461284917","1622776","1101870","457999"
"Western Asia","1957","9943679","2338758","70.24","68.9","244.256214118771","166.454857048023","47.2248760446692",,"423001","140273"
"Americas","1957","56055900","12350184","92.19","92.23","120.089364978115","87.393178425648","13.6582302428821","1534071","1124710","305639"
"Northern America","1957","21808905","4605822","100","100","32.0960686924648","27.6490399137327","0","148813","129016","0"
"Latin America and the Caribbean","1957","34246995","7744362","87.21","87.61","175.874595878943","125.132257103251","22.2858385500994",,"1032856","287809"
"Central America","1957","8661269","1975851","99.81","99.82","183.843376479736","122.839776206742","43.9634667000388",,"259769","117420"
"South America","1957","22954859","5169614","87.82","88.36","175.360481310802","127.884215028608","13.4008029287208","952775","703787","126128"
"Caribbean","1957","2630867","598897","40.42","40.87",,,,,,
"Europe","1957","56434621","11669840","52.75","52.36","54.4545951759904","45.7106711287193","0.750344056179079",,"548500","13699"
"Northern Europe","1957","6400310","1322033","91.85","91.82","27.9806500691668","23.8791730808523","0.043428555008236","37308","31925","114"
"Southern Europe","1957","10939676","2307436","78.7","78.99","65.4705254957326","52.9402040048251","0","156426","126800","0"
"Eastern Europe","1957","26863771","5521523","31.15","30.34",,,,,,
"Western Europe","1957","12230864","2518848","56.5","55.54","34.3438813785767","28.7181437291419","3.28238655298762","87423","73419","12530"
"Oceania","1957","1783303","382084","98.68","98.62","77.0478029571141","57.7562950000121","0","29397","22373","0"
"Australia and New Zealand","1957","1291585","269510","100","100","27.3420496290493","22.1565828424657","0","7324","5993","0"
"Melanesia","1957","433487","99418","100","100","195.433968119255","143.175363483178","0","20465","15181","0"
"Micronesia","1957","19686","4432","38.45","38.9",,,,,,
"Polynesia","1957","38545","8724","70.43","70.78","125.01483718713","92.3940984547451","0","1127","842","0"
"World","1957","422958574","95327053","56.7","57","204.025653991147","130.376201954562","30.1386610772538",,"13105177","3169725"
"Africa","1958","48138368","11507157","51.17","50.95","273.435537899678","150.982552209694","30.8222216125569",,"1889845","511863"
"Northern Africa","1958","11168097","2643384","93.44","93.42","285.499129842598","161.349075880317","45.1218901424479",,"468490","180127"
"Southern Africa","1958","2962385","665644","9.41","9.6",,,,,,
"Eastern Africa","1958","14392997","3418394","49.18","48.87",,,,,,
"Western Africa","1958","14322088","3511419","36.98","36.8",,,,,,
"Middle Africa","1958","5292801","1268316","29.16","28.96",,,,,,
"Asia","1958","266187651","59581269","51.48","53.14","228.456634267487","147.301034866313","26.6154022752083",,"9450438","2297015"
"Eastern Asia","1958","123584493","26333831","11.53","11.61",,,,,,
"Central Asia","1958","3645289","853785","0","0",,,,,,
"Southern Asia","1958","93374247","21833433","95.9","95.74","255.234660698833","162.126911412794","21.1042317604236","6033626","3869631","911381"
"South-Eastern Asia","1958","35340357","8171123","71.36","71.39","191.591037515752","127.129869524289","51.0033234848804","1624514","1103453","461529"
"Western Asia","1958","10243265","2389097","78.37","78.11","252.490395705415","179.462892081648","40.1578731409529","685670","464211","134099"
"Americas","1958","57505187","12610639","93.91","93.93","116.535060093612","84.6510065449402","13.1217771660754","1504903","1111235","301948"
"Northern America","1958","22288790","4675524","100","100","31.4819622380105","27.1310714206334","0","148557","128795","0"
"Latin America and the Caribbean","1958","35216397","7935115","90.05","90.36","168.690184517288","119.62802026222","21.1009339391324","1396296","1010154","283165"
"Central America","1958","8922695","2029223","99.82","99.82","177.474774153076","119.310753087364","42.5645489963494","378787","258346","116294"
"South America","1958","23592404","5292955","88","88.57","170.501365665639","124.80266172394","13.1528196210908","947988","702520","126541"
"Caribbean","1958","2701298","612937","75.71","74.53","101.923150062317","66.7247661764659","7.25122955397353",,,
"Europe","1958","56921844","11713770","78.73","78.4","51.2869791796959","43.0626373987706","0.491615901613709",,"518736","10522"
"Northern Europe","1958","6456217","1336828","100","100","28.9052771602587","24.9339315758838","0.0385629096150597","39587","33774","104"
"Southern Europe","1958","11036366","2323621","78.91","79.29","63.5234132448264","51.751356146019","0","152887","124945","0"
"Eastern Europe","1958","27053847","5516911","83.91","83.4","59.4161919036187","49.5716069640497","0",,,
"Western Europe","1958","12375414","2536410","56.14","55.31","32.339109904836","27.02486678395","3.21951061722798","83239","69915","12314"
"Oceania","1958","1821775","389527","99.09","99.05","75.1313185588974","56.642796384142","0","29339","22391","0"
"Australia and New Zealand","1958","1315293","274097","100","100","26.7387117530826","21.7376412241023","0","7320","6013","0"
"Melanesia","1958","446770","101957","100","100","189.404720839955","139.10319966719","0","20320","15103","0"
"Micronesia","1958","20080","4520","75.79","75.88","186.877351514586","128.613677385453","0",,,
"Polynesia","1958","39632","8953","70.38","70.69","119.493985769232","88.5460393956468","0","1101","826","0"
"World","1958","430576402","95802676","60.9","61.5","199.742424363899","127.375315832846","29.8527562884611",,"13020359","3102565"
"Africa","1959","49374441","11785261","51.83","51.45","267.779707508289","148.495197683364","29.8378909196913",,"1899079","508363"
"Northern Africa","1959","11424467","2689658","93.48","93.43","278.458464895964","158.627817684321","44.247309413446",,"467859","179593"
"Southern Africa","1959","3040720","679495","9.43","9.63",,,,,,
"Eastern Africa","1959","14803622","3529770","49.43","48.74",,,,,,
"Western Africa","1959","14674283","3587540","37.14","36.92",,,,,,
"Middle Africa","1959","5431349","1298798","34.17","33.83",,,,,,
"Asia","1959","266846249","56577820","52.68","57.15","224.323936591862","144.557989017074","26.3543862805972","13999993","8903401","2197592"
"Eastern Asia","1959","120205240","22556911","11.95","13.52",,,,,,
"Central Asia","1959","3832595","893018","0","0",,,,,,
"Southern Asia","1959","95676735","22259283","95.85","95.69","250.64902012241","159.318522612937","20.8791247100955","6035086","3870315","916671"
"South-Eastern Asia","1959","36595871","8395002","71.49","71.7","185.573840704968","123.305273351457","50.0896872287264","1618119","1098385","464407"
"Western Asia","1959","10535808","2473606","79.27","79.41","260.698318580157","176.258296946628","38.4713686506351","691922","469257","135273"
"Americas","1959","58863141","12830113","93.96","93.94","113.16924922123","83.0269364615504","12.872278532139","1492205","1107988","300373"
"Northern America","1959","22666156","4699153","100","100","30.8971464863724","26.6348823659791","0","147166","127436","0"
"Latin America and the Caribbean","1959","36196985","8130960","90.18","90.43","162.286970763558","116.64278208884","20.5455675255584","1383934","1007646","281803"
"Central America","1959","9191580","2084517","99.82","99.82","170.368750900433","115.893756563073","41.1589367128846","372429","257163","115104"
"South America","1959","24230851","5416842","88.16","88.63","165.882799532247","121.852768736524","12.9235273553558","943007","700809","126939"
"Caribbean","1959","2774554","629601","75.9","74.83","87.9938178545414","65.8313081887997","6.94732939695077",,"44161","7629"
"Europe","1959","57308527","11786977","78.51","77.85","48.9710544779056","40.5572704845413","0.49112995549973",,"490788","10546"
"Northern Europe","1959","6536007","1353164","100","100","28.3288361105694","24.0981935904695","0.039203972833197","38627","32979","106"
"Southern Europe","1959","11146257","2349096","79.19","79.52","61.411833128261","50.401623377481","0","149055","122690","0"
"Eastern Europe","1959","27035873","5463563","83.64","82.88","55.5772930660755","45.9988797575453","0",,"259919","0"
"Western Europe","1959","12590390","2621154","55.76","54.46","30.5410402413545","25.5112986065206","3.15051531433779","80158","67403","12425"
"Oceania","1959","1866061","397592","99.23","99.19","73.0591335844103","55.1830909349047","0","29108","22260","0"
"Australia and New Zealand","1959","1344976","279528","100","100","26.1373102458278","21.3098307370276","0","7288","5997","0"
"Melanesia","1959","459791","104246","100","100","183.370943838044","135.096528653411","0","20111","14980","0"
"Micronesia","1959","20569","4653","89.17","89.06","163.943268078924","120.546861808311","0",,"592","0"
"Polynesia","1959","40725","9165","70.35","70.57","114.133042791745","84.7965419213582","0","1074","808","0"
"World","1959","434260062","93378081","61.8","64.3","194.51263878436","124.108176268224","29.5933727672281","19519862","12450610","2998304"
"Africa","1960","50691000","12074944","51.86","51.39","262.409305759686","146.00634124553","30.663408787042",,"1909043","529544"
"Northern Africa","1960","11681682","2739991","93.53","93.47","271.450897309403","155.846910095259","43.3963368917509","805234","467356","179507"
"Southern Africa","1960","3119651","694580","9.45","9.62",,,,,,
"Eastern Africa","1960","15272770","3638268","49.51","48.68",,,,,,
"Western Africa","1960","15039639","3670413","37.28","37.02",,,,,,
"Middle Africa","1960","5577258","1331692","34.03","33.63",,,,,,
"Asia","1960","263555708","55059971","54.65","60.04","219.736370235032","141.77298393104","26.0497081015998","13485141","8515427","2177433"
"Eastern Asia","1960","112908304","20212666","12.84","15.06",,,,,,
"Central Asia","1960","4026833","929099","0","0",,,,,,
"Southern Asia","1960","97980785","22759603","95.81","95.72","246.209826676675","156.598540903278","20.6310149566375","6045928","3882619","925230"
"South-Eastern Asia","1960","37823705","8613424","71.65","72.04","179.828131648845","119.725626715857","49.2535040563152","1609567","1092852","467254"
"Western Asia","1960","10816081","2545179","79.09","79.45","252.781915503134","172.173307241997","37.7571470227034","686269","472271","136338"
"Americas","1960","60121169","13045376","96.06","96.21","112.976713336909","84.0475458481902","13.4152816589377","1543207","1140203","319649"
"Northern America","1960","22937046","4720276","100","100","30.301634945219","26.1257977199116","0","145096","125456","0"
"Latin America and the Caribbean","1960","37184123","8325100","93.63","94.06","160.111977683937","116.646607267085","20.9655646680579","1419477","1030700","297035"
"Central America","1960","9472068","2144132","99.82","99.82","163.912683416726","112.716258088413","39.6971644464927","367443","256629","113810"
"South America","1960","24860064","5532033","90.73","91.32","163.173699079931","120.859596595908","12.3504018536395","958228","709464","125552"
"Caribbean","1960","2851991","648935","98.31","98.36","117.189182793486","96.3246849005674","26.4370470104147",,"66647","30019"
"Europe","1960","57298666","11781205","78.18","77.42","45.9845244258458","38.1425674586024","10.1504972802958","557193","462657","170061"
