"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","Under.five.deaths.median","Infant.deaths.median"
"Adhoc",2018,3037769,641957,100,100,60.3214102254989,54.0324467691147,39837,35802
"World",2018,336348973,67108918,100,100,37.6460680415489,27.3035081613285,2544562,1841123
"Adhoc",2019,3098764,653699,100,100,58.2668140986526,52.4076726752513,39107,35300
"World",2019,334344480,66041683,100,100,37.2138086362767,26.8733116754227,2480507,1791888
"Adhoc",2020,3166634,667053,100,100,56.2873721598469,50.7664540428047,38455,34794
"World",2020,331136738,64804714,100,100,36.7152211201364,26.7046090064998,2397719,1737280
"Adhoc",2021,3210287,674132,100,100,54.3608465205561,49.1484062772502,37786,34285
"World",2021,326739032,63672482,100,100,37.1107381166851,26.8268514225195,2384202,1722069
"Adhoc",2022,3221673,675899,100,100,52.4813672292124,47.5879315834593,36898,33566
"World",2022,321903934,63172219,100,100,37.460769462034,26.8684170702214,2381741,1711812
"Adhoc",2023,3255581,684576,100,100,50.6831845993289,46.0416982674669,35864,32643
"World",2023,317758964,62860895,100,100,35.8191338442285,25.9323675495352,2267505,1647878
"Adhoc",2024,3315884,697677,100,100,48.8748086202599,44.4679309904033,34962,31864
"World",2024,314773415,62907268,100,100,34.8533644372648,25.2694838979354,2206639,1610694
