"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","Under.five.deaths.median","Infant.deaths.median"
"Upper middle income",1973,121022181,24587661,96.68,96.52,114.265269058453,87.1772514246146,,2235561
"High income",1973,43754672,8709038,99.46,99.43,30.3984920776362,25.4359027922418,266390,221988
"Low and middle income",1973,229953011,49267883,96.76,96.71,159.643978264629,109.559215602134,8251230,5709043
"World",1973,277632636,58874359,97.2,97.2,143.17207170333,98.5928258950481,8754563,6077708
"Low income",1974,15042355,3452757,96.36,96.34,240.01858694815,140.548711381157,876989,523154
"Lower middle income",1974,96424109,21722771,96.94,97.04,196.623349506355,129.017717976457,4531307,3013858
"Upper middle income",1974,119773818,23972994,96.62,96.4,109.941238159466,84.1352829092594,2771311,2098315
"High income",1974,43571339,8631399,99.45,99.42,29.2699416827642,24.4881710309861,254416,211915
"Low and middle income",1974,231240281,49148522,96.74,96.68,158.576575372284,108.703502227989,8179618,5635327
"World",1974,278826563,58699796,97.2,97.1,142.162795668151,97.6622006562048,8675727,5998011
"Low income",1975,15385602,3529970,97.14,97.1,237.839109510095,139.261588704526,887368,529961
"Lower middle income",1975,98653758,22113570,97.13,97.24,191.3216133679,126.155778984169,4487062,2995430
"Upper middle income",1975,117516233,23003031,96.7,96.41,105.888273156919,81.3577330071798,2566282,1940414
"High income",1975,43204537,8533444,99.44,99.41,28.1825190889741,23.5698355622477,242642,202058
"Low and middle income",1975,231555592,48646570,96.91,96.84,155.433721479665,106.73158816692,7940732,5465814
"World",1975,278862484,58123064,97.3,97.3,139.385914027098,95.9611668657062,8430170,5822948
"Low income",1976,15727491,3612987,97.1,97.04,234.682643920715,137.810851400581,894623,536003
"Lower middle income",1976,100919458,22549647,97.66,97.66,185.438898479769,122.114638465417,4442027,2954716
"Upper middle income",1976,114752910,22314254,98.58,98.45,99.8436610257002,78.0634617260637,2347746,1807113
"High income",1976,42639542,8418058,99.43,99.41,27.0290779758474,22.5731423431212,230025,191368
"Low and middle income",1976,231399859,48476887,98.08,97.98,150.873388472801,103.671610317912,7684421,5297836
