"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
"World","2003","315290877","65292784","100","100","70.2055049575843","50.6487668810722","4732730","3444586"
"Adhoc","2004","2342014","501632","100","100","116.679006407335","84.5542663024314","64518","47335"
"World","2004","316878097","65878443","100","100","67.8178520738966","48.968051329347","4597769","3349414"
"Adhoc","2005","2396837","509251","100","100","112.370310289784","81.7254959402659","63301","46546"
"World","2005","318961299","66407011","100","100","64.8602304543607","47.1133837580755","4424020","3242188"
"Adhoc","2006","2458586","518474","100","100","108.067596061426","78.9150830459862","61878","45623"
"World","2006","322997479","66809641","100","100","62.294415087249","45.4317073128373","4276331","3145932"
"Adhoc","2007","2499883","523673","100","100","103.881566168481","76.1437041555192","60306","44566"
"World","2007","325773206","67130655","100","100","59.7574172939837","43.7614327562732","4128044","3048397"
"Adhoc","2008","2525925","525861","100","100","99.6557899483894","73.3669371503313","58501","43351"
"World","2008","327820438","67412515","100","100","57.4789165440764","42.1984237886061","3994870","2955750"
"Adhoc","2009","2544826","526413","100","100","95.5409415055443","70.6531210791454","56569","42037"
"World","2009","329813811","67724533","100","100","55.0275810731247","40.6902971183181","3844464","2863828"
"Adhoc","2010","2564294","526253","100","100","91.5159385448288","68.030413907191","54529","40670"
"World","2010","332348768","68114332","100","100","53.1404039954992","39.319037641729","3729748","2778420"
"Adhoc","2011","2569436","519360","100","100","87.6724203728077","65.4981883736319","52475","39284"
"World","2011","335415783","68595202","100","100","50.8865883878741","37.9544152178471","3584702","2690521"
"Adhoc","2012","2565655","511878","100","100","84.0115092559099","63.0972445045713","50454","37938"
"World","2012","338382637","69156268","100","100","49.0615082097475","36.7410517733404","3466504","2611100"
"Adhoc","2013","2556110","504910","100","100","80.478510948113","60.7964689943259","48471","36642"
"World","2013","341246196","69714353","100","100","47.3723955985252","35.6169414634142","3355142","2536221"
"Adhoc","2014","2545883","500134","100","100","77.0293273359085","58.6042343296333","46527","35420"
"World","2014","343746406","70160453","100","100","45.8262758476149","34.5651864511086","3251621","2465031"
"Adhoc","2015","2538496","498844","100","100","73.8237016351978","56.4684494669685","44736","34246"
"World","2015","345738174","70421506","100","100","44.4046299996038","33.5851660319816","3154948","2397631"
"Adhoc","2016","2529377","505180","100","100","70.8610066446499","54.5109257966853","43104","33194"
"World","2016","347754194","70465153","100","100","43.1139162031692","32.7100363175335","3065742","2336459"
"Adhoc","2017","2536968","515009","100","100","68.119185067125","52.7070836309837","41611","32239"
"World","2017","348802011","70340871","100","100","41.8460572093963","31.8140511768147","2976315","2272569"
"Adhoc","2018","2555210","526112","100","100","65.7452872875292","51.1203520625721","40335","31408"
"World","2018","349096182","70101604","100","100","40.6859920044531","31.005096789602","2893157","2213944"
