"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","CMR.median","Under.five.deaths.median","Infant.deaths.median","Child.deaths.median"
"Adhoc",2002,3863171,2115328,100,100,20.6724765859189,7.91296259106323,12.8612848608324,15730,6707,9023
"World",2002,1131000389,594538327,100,100,14.6486496953073,6.32019925117669,8.38142270563872,3306639,1504374,1802265
"Adhoc",2003,4176265,2304084,100,100,19.3983013061397,7.4652470374125,12.022807496774,15912,6886,9026
"World",2003,1152132600,603979788,100,100,14.3519317130141,6.17483830049532,8.22789936062327,3299865,1492582,1807283
"Adhoc",2004,4394854,2444400,100,100,18.3956976728062,7.12353058073589,11.3530408255756,15845,6970,8875
"World",2004,1171543103,613185135,100,100,14.2440028169352,6.11130594542695,8.18270387836973,3329980,1499408,1830572
"Adhoc",2005,4531810,2538433,100,100,17.722307448318,6.91337048206724,10.8841833582009,15713,7022,8691
"World",2005,1189759982,621600482,100,100,13.7390068661123,5.87603223100069,7.90945082307754,3260231,1460617,1799614
"Adhoc",2006,4783039,2691173,100,100,20.4841872931189,7.67156307958937,12.9116769577743,19059,8250,10809
"World",2006,1204165041,625934742,100,100,13.3457364982786,5.69304496472736,7.69650810023741,3205381,1424218,1781163
"Adhoc",2007,5022028,2833615,100,100,22.4810047934189,8.22929562466117,14.3699638493901,21899,9314,12585
"World",2007,1212452880,624694997,100,100,13.0404479547923,5.5811243160484,7.50118870542703,3156710,1393075,1763635
"Adhoc",2008,5107763,2887402,100,100,21.7844110652596,8.23635155838807,13.6605727868329,21644,9503,12141
"World",2008,1218787538,621541950,100,100,12.8291974703523,5.53444782004612,7.33534674410345,3126422,1374446,1751977
"Adhoc",2009,5412310,3061907,100,100,21.6522635099943,8.5785911794002,13.1867964664457,22924,10508,12416
"World",2009,1223863075,617332369,100,100,12.7815529372821,5.51691650584208,7.30493715983124,3133290,1360875,1772415
"Adhoc",2010,5675889,3211820,100,100,23.138973411943,9.29090959802406,13.9779315119641,25760,11954,13806
"World",2010,1227087596,611536747,100,100,12.1923663830874,5.33990686521248,6.88924745767025,2998483,1304477,1694007
"Adhoc",2011,5922596,3349457,100,100,24.8025707885355,10.0937278976915,14.8588238153155,28902,13561,15341
"World",2011,1227871524,607321436,100,100,11.9086015117236,5.23797257905692,6.70575348554586,2931651,1270375,1661277
"Adhoc",2012,6286261,3546524,100,100,26.5712344082337,10.9811716091286,15.763160772652,32999,15653,17346
"World",2012,1225502812,605744961,100,100,11.6663491835891,5.12249132179695,6.57755131130301,2865269,1238714,1626556
