"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
"World","1985","598756834","128178209","100","100","106.313801905084","71.5069780310785","40.3738117203414","13905676","9486572","5476935"
"Adhoc","1986","2215078","528378","100","100","250.475894740229","181.266794626645","32.9661513185275","142847","103972","19637"
"World","1986","608808088","130983476","100","100","103.082276156208","69.5728244534222","39.3737376738817","13732737","9414547","5456767"
"Adhoc","1987","2224813","530453","100","100","244.224517141228","176.856993021565","81.0357353521032","139785","102111","48175"
"World","1987","618318309","133322784","100","100","99.3938667326384","67.4079538829529","38.6900834834681","13489546","9288863","5442359"
"Adhoc","1988","2246274","534052","100","100","194.298539266493","155.01684315724","78.8014163811492","111232","89562","46905"
"World","1988","626906731","133454461","100","100","99.793563067601","67.5879196386954","38.1156321947585","13643692","9337980","5349035"
"Adhoc","1989","2334132","552449","100","100","187.781604787229","150.42737261035","77.2650369010149","109930","88683","47332"
"World","1989","636696900","134508510","100","100","95.4224810603189","65.21694006316","37.2050165099324","13115241","9056433","5267158"
"Adhoc","1990","2441197","574953","100","100","181.384583734027","145.886979922913","75.7612442115946","109714","89023","48171"
"World","1990","645057886","135854691","100","100","93.5152809448702","63.9901399012833","36.5620904259941","12970036","8974735","5220446"
"Adhoc","1991","2455082","577743","100","100","175.173283456266","141.446336095942","74.2435395576095","108203","88121","47455"
"World","1991","646591146","132018963","100","100","92.9411370760843","64.0310615910891","36.2779425084858","12742763","8782497","4998451"
"Adhoc","1992","2571564","605500","100","100","169.131970216607","137.155966064041","72.7025047737965","107134","87667","48474"
"World","1992","645675820","129855563","100","100","92.3140947137757","63.2935811680302","35.8403743774155","12389595","8503829","4873741"
"Adhoc","1993","2941666","692120","100","100","163.536368993548","133.140778099207","71.2238201843902","112102","93130","53874"
"World","1993","642256957","128912465","100","100","91.1217542338788","62.489617906457","35.3390175133611","12110956","8316178","4770867"
"Adhoc","1994","3325916","779229","100","100","158.272356260917","129.432086012369","69.8112340768749","121014","102212","59227"
"World","1994","637723204","128461695","100","100","89.3827526173593","61.3968060513198","34.7610517092041","11806672","8136171","4675536"
"Adhoc","1995","3552851","825612","100","100","153.384824820441","125.993360765069","68.4293413383042","127147","108036","61381"
"World","1995","631274797","128222748","100","100","87.4936748622168","60.229268723431","34.1224770256883","11507725","7960606","4579750"
"Adhoc","1996","3728376","858437","100","100","148.773595776565","122.712453510687","67.1213833919938","129830","110096","62470"
"World","1996","626383367","127921065","100","100","86.4426921032281","59.4608181002881","33.4543184274313","11321640","7838756","4472923"
"Adhoc","1997","3889210","887533","100","100","144.409539644964","119.643452464143","65.9052818896082","131427","111060","63274"
"World","1997","624491763","127694401","100","100","84.3285901173066","58.1472428131608","32.7369538577395","11012866","7643617","4366308"
"Adhoc","1998","4034697","912379","100","100","140.162392712438","116.63217056999","64.6912276630214","132074","111367","63685"
"World","1998","623492514","127662576","100","100","82.7845714220038","57.0447039850339","31.9763236446308","10796622","7491671","4262163"
"Adhoc","1999","4180361","939333","100","100","135.95363948867","113.639605913837","63.4104018514492","132007","111445","64152"
"World","1999","623184104","127899706","100","100","79.44529387581","55.1250705085316","31.1931705573822","10361559","7240971","4163878"
"Adhoc","2000","4313183","963469","100","100","131.707237184146","110.603975959455","62.1767781942732","131354","111260","64358"
"World","2000","624708130","129464289","100","100","76.682167366148","53.2581083598107","30.2943588952032","10063224","7067879","4094731"
"Adhoc","2001","4228588","937797","100","100","127.479861753329","107.512738990769","60.8814641647189","127295","107744","61286"
"World","2001","626061567","129559092","100","100","74.3282183448962","51.8628531382625","29.4738366065762","9790284","6896572","3974647"
"Adhoc","2002","4304102","947805","100","100","123.07344698106","104.260840308817","59.566755103664","122282","103524","60414"
