"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
1992,645675820,129855563,100,100,92.3140947137757,63.2935811680302,35.8403743774155,12389595,8503829,4873741
1993,642256957,128912465,100,100,91.1217542338788,62.489617906457,35.3390175133611,12110956,8316178,4770867
1994,637723204,128461695,100,100,89.3827526173593,61.3968060513198,34.7610517092041,11806672,8136171,4675536
1995,631274797,128222748,100,100,87.4936748622168,60.229268723431,34.1224770256883,11507725,7960606,4579750
1996,626383367,127921065,100,100,86.4426921032281,59.4608181002881,33.4543184274313,11321640,7838756,4472923
1997,624491763,127694401,100,100,84.3285901173066,58.1472428131608,32.7369538577395,11012866,7643617,4366308
1998,623492514,127662576,100,100,82.7845714220038,57.0447039850339,31.9763236446308,10796622,7491671,4262163
1999,623184104,127899706,100,100,79.44529387581,55.1250705085316,31.1931705573822,10361559,7240971,4163878
2000,624708130,129464289,100,100,76.682167366148,53.2581083598107,30.2943588952032,10063224,7067879,4094731
2001,626061567,129559092,100,100,74.3282183448962,51.8628531382625,29.4738366065762,9790284,6896572,3974647
2002,628915784,129758471,100,100,71.3084536139672,49.8966910356426,28.546929800731,9397000,6642458,3850830
2003,632373814,130206938,100,100,68.3337612151457,47.9972151118679,27.5951452682398,9030240,6404674,3731314
2004,636440873,131140416,100,100,65.8396115356414,46.2626054856666,26.6539326330721,8753240,6210633,3627992
2005,639759300,131881732,100,100,62.3253632787156,44.1401841680636,25.7869436115584,8332940,5955815,3524992
2006,643631640,133191690,100,100,59.5596029497798,42.3497189972677,24.9400890933779,8020452,5762993,3441436
2007,648499453,134734906,100,100,56.9532821143093,40.6741437487683,24.137148734007,7748787,5594473,3365984
2008,654783226,136569284,100,100,54.6945389720355,39.1869846807539,23.3784843482398,7530711,5454571,3302719
2009,661822876,137967088,100,100,52.9162645149192,37.9933195541921,22.739885938367,7353917,5337457,3240327
2010,668734403,138611221,100,100,50.5893139465474,36.671987917835,22.1282981946114,7078370,5179381,3162468
2011,675340899,139176364,100,100,49.5123268258505,35.8696930115327,21.5464131601926,6954776,5084158,3090024
2012,682560519,141224919,100,100,46.704903839067,34.0273762995441,20.7848996646933,6642498,4891280,3025246
2013,686845626,140738748,100,100,45.060275803806,33.0628410529103,20.3343104394258,6423318,4741303,2939573
2014,691041254,140959185,100,100,43.9156239852643,32.1125570420153,19.7282706194764,6267970,4615493,2857071
2015,693244389,140268819,100,100,42.8755164514727,31.4732262378783,19.4164824760552,6096388,4489573,2793489
2016,695617763,140697132,100,100,41.7224602793027,30.610806667851,18.9419675482474,5945048,4381683,2735252
2017,695379825,139833432,100,100,40.8870066941697,30.0216786846294,18.5736642058006,5810442,4273582,2659747
2018,692015599,136956736,100,100,39.9617088465405,29.6031918988382,18.5436646355462,5569454,4115164,2595080
2019,687902215,135155938,100,100,39.5658384360921,29.1979403197271,18.2799325163466,5434925,4009980,2526770
2020,680133763,131727522,100,100,39.155757850218,29.1044469163744,18.2375897680396,5260400,3892531,2450966
2021,671473691,130147541,100,100,39.6077078579184,29.259557552984,18.0496033226213,5229577,3857907,2402288
2022,661036002,129219679,100,100,39.9768940450624,29.3054955867515,17.8512315087886,5222373,3833691,2358912
2023,652281906,128833896,100,100,38.3343975673381,28.3613798009621,17.558478588319,4985217,3699468,2313883
2024,645810209,129091563,100,100,37.3670735317694,27.6793973455632,17.1950788042202,4857799,3619747,2271170
