"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
"South America","1956","11259060","2443976","82.44","82.87","192.923974715548","140.698927049322",,"378295"
"Caribbean","1956","1304387","284278","61.3","63.11","178.092784506704","142.620354869571",,
"Europe","1956","28143040","5483210","33.4","31.84",,,,
"Northern Europe","1956","3082471","576080","91.47","90.34","32.2432533814903","27.5726941724014","21709","18610"
"Southern Europe","1956","5411747","1052956","52.49","50.9","73.0625587868492","58.4102373818776",,"70275"
"Eastern Europe","1956","13594089","2656686","3.62","3.76",,,,
"Western Europe","1956","6054733","1197488","53.63","49.2","40.8123655932173",,,
"Oceania","1956","874983","179207","95.95","95.61","84.0126731936937","59.9410005366956","17184","12069"
"Australia and New Zealand","1956","640121","127467","100","100","31.0145945406348","25.1822626868805","4249","3488"
"Melanesia","1956","206578","45429","95.78","95.79","212.19407799707","144.850969349003",,"8334"
"Micronesia","1956","9892","2185","0","0",,,,
"Polynesia","1956","18392","4126","8.49","8.63",,,,
"Africa","1957","23501247","5241367","44.87","44.79",,,,
"Northern Africa","1957","5353556","1181192","91.56","91.62","285.135776821544","188.82410513385",,"266035"
"Southern Africa","1957","1569954","340446","9.15","9.21",,,,
"Eastern Africa","1957","7132774","1596162","43.84","43.75",,,,
"Western Africa","1957","6832909","1538435","28.81","29",,,,
"Middle Africa","1957","2612054","585132","15.49","15.29",,,,
"Asia","1957","131422047","27292848","50.72","52.45","231.587599390988","163.280916320095",,"5110368"
"Eastern Asia","1957","59377097","11522780","9.81","8.95",,,,
"Central Asia","1957","1657743","372058","0","0",,,,
"Southern Asia","1957","47685907","10368774","94.36","94.32","252.536594603326","179.114654038464",,"2155697"
"South-Eastern Asia","1957","17329506","3860351","70.35","70.4","209.052675785417","144.046719267619","887371","623121"
"Western Asia","1957","5371794","1168885","67.8","67.27","258.625853374229","177.930578039518",,"240242"
"Americas","1957","28681150","6091237","90.85","91.03","127.430827319828","94.4117229533486","830353","615432"
"Northern America","1957","11219265","2324334","100","100","35.8494322541238","31.0536796287095","85711","74564"
"Latin America and the Caribbean","1957","17461885","3766903","84.98","85.5","188.018071201456","135.942295366156",,"564886"
"Central America","1957","4569845","997561","97.52","97.44","189.220524967897","133.217359102521","204411","144522"
"South America","1957","11563441","2487377","82.63","83.07","186.381293244523","136.811301662648",,"377026"
"Caribbean","1957","1328599","281965","62.22","64.7","201.480425512751","140.106513438181",,"44089"
"Europe","1957","28300673","5601686","33.19","33.03",,,,
"Northern Europe","1957","3090081","621860","91.36","90.99","31.2601321766489","26.7336301011717","21354","18325"
"Southern Europe","1957","5425222","1086303","52.28","51.6","71.3834478938018","57.4617113830807",,"69482"
"Eastern Europe","1957","13668036","2659737","3.52","3.43",,,,
"Western Europe","1957","6117334","1233786","53.16","51.27","38.4027569166623","32.2557263974247",,
"Oceania","1957","894817","186492","95.93","95.76","81.3104551227037","58.2467496128977","16740","11932"
"Australia and New Zealand","1957","654576","134200","100","100","30.3313768470788","24.6904617610192","4239","3483"
"Melanesia","1957","211251","45963","95.69","95.71","205.106414798741","140.433233771056",,"8207"
"Micronesia","1957","10160","2195","0","0",,,,
"Polynesia","1957","18830","4134","8.78","9.36",,,,
"Africa","1958","24071230","5379395","45.62","45.52",,,,
"Northern Africa","1958","5511750","1218043","93.8","93.88","279.190004573321","184.81980483388",,"266029"
"Southern Africa","1958","1599530","342777","9.16","9.28",,,,
"Eastern Africa","1958","7306786","1640529","44.05","43.75",,,,
"Western Africa","1958","6987781","1580685","29.09","29.37",,,,
"Middle Africa","1958","2665383","597361","15.46","15.31",,,,
"Asia","1958","131155979","26497972","51.62","54.25","226.626296824047","159.746029179235",,"5080766"
"Eastern Asia","1958","57675701","10657184","10.05","9.89",,,,
"Central Asia","1958","1763040","391217","0","0",,,,
"Southern Asia","1958","48376596","10358585","94.35","94.33","247.996023536518","175.754640022792",,"2151542"
"South-Eastern Asia","1958","17881370","3925008","70.51","70.88","202.694617636502","139.807463935232","884278","620511"
"Western Asia","1958","5459272","1165978","67.06","65.84","250.488016695606","172.416228890612","341608","237507"
"Americas","1958","29299870","6197642","90.97","91.2","124.87083035637","92.2565927373017","820564","611516"
"Northern America","1958","11454259","2381196","100","100","35.1144107672119","30.4003584264705","84477","73333"
"Latin America and the Caribbean","1958","17845611","3816446","85.18","85.7","182.515094218676","131.908010329547",,"561694"
"Central America","1958","4674588","1006220","97.44","97.25","182.770463084319","127.915900414743","200123","142120"
"South America","1958","11829959","2530607","82.83","83.27","180.970633236346","133.193052410404",,"376013"
"Caribbean","1958","1341064","279619","63.23","66.19","198.118036607553","137.856607801859",,"44677"
"Europe","1958","28662221","5734110","39.97","40.77",,,,
"Northern Europe","1958","3173560","672041","91.5","91.62","30.4706937879013","26.0633751637869","21169","18194"
"Southern Europe","1958","5494904","1123591","52.41","52.38","69.7328824123187","56.5434364729774",,"68796"
"Eastern Europe","1958","13763219","2663881","16.95","17",,,,
"Western Europe","1958","6230538","1274597","53.57","53.41","36.1667309119362","30.364579872622","48528","40968"
"Oceania","1958","919127","193813","95.96","95.89","78.8930518913785","56.6997142097317","16352","11798"
"Australia and New Zealand","1958","674721","140949","100","100","29.676674836192","24.2146452652906","4218","3469"
"Melanesia","1958","214934","46508","95.61","95.64","198.55947136319","136.257343978179",,"8089"
"Micronesia","1958","10358","2203","0","0",,,,
"Polynesia","1958","19114","4153","9.19","10.09",,,,
"Africa","1959","24654390","5526160","46.19","46.06",,,,
"Northern Africa","1959","5669735","1255897","93.88","93.94","273.687988524608","180.516167840936",,"265359"
"Southern Africa","1959","1626289","345572","9.18","9.35",,,,
"Eastern Africa","1959","7490408","1688866","44.21","43.74",,,,
"Western Africa","1959","7147192","1624665","29.38","29.69",,,,
"Middle Africa","1959","2720766","611160","18.54","18.38",,,,
"Asia","1959","131082013","26037482","52.45","55.65","221.687091762076","156.324512918374",,"5068800"
"Eastern Asia","1959","56262938","10079010","10.33","10.76",,,,
"Central Asia","1959","1866747","410541","0","0",,,,
"Southern Asia","1959","49020696","10388599","94.34","94.33","243.427964419704","172.533011031849","3014456","2148381"
"South-Eastern Asia","1959","18392318","3990906","70.71","71.32","196.533792964638","135.714603735762","879387","616911"
"Western Asia","1959","5539314","1168426","66.65","64.94","241.884608389439","166.49599579391","336367","234093"
"Americas","1959","29867919","6296630","92.99","93.23","123.263646761823","91.6981885243666","820982","617262"
"Northern America","1959","11633731","2416788","100","100","34.5707276010654","29.9267181123827","83296","72187"
"Latin America and the Caribbean","1959","18234188","3879842","88.52","89.01","177.464601783621","128.866652822305",,"562238"
"Central America","1959","4773973","1017501","97.35","97.09","175.260095806406","123.094325963173","196614","140128"
"South America","1959","12102536","2581838","87.8","88.22","176.779914725472","130.777200346792",,"377938"
"Caribbean","1959","1357679","280503","63.89","66.92","194.946702786812","135.65321030438",,"45381"
"Europe","1959","29015061","5854525","40.35","41.85",,,,
"Northern Europe","1959","3277522","720141","91.71","92.15","29.7791323976637","25.4733221516868","21080","18132"
"Southern Europe","1959","5579490","1160592","52.63","53.12","67.6597765981244","55.2183035220265",,"67649"
"Eastern Europe","1959","13794946","2656381","16.83","16.69",,,,
"Western Europe","1959","6363103","1317411","54.1","55.17","34.2112973330571","28.6973310316421","46667","39385"
"Oceania","1959","942631","200319","96.13","96.12","76.6939834647534","55.2848446781223","16030","11666"
"Australia and New Zealand","1959","694153","146783","100","100","29.0221827821635","23.7382141673229","4185","3446"
"Melanesia","1959","218491","47119","95.54","95.58","192.243182874559","132.12742667119",,"7966"
"Micronesia","1959","10548","2219","13.28","12.93",,,,
"Polynesia","1959","19439","4198","9.51","10.58",,,,
"Africa","1960","25318997","5681220","47","46.9",,,,
"Northern Africa","1960","5834923","1294223","93.91","93.94","267.209063361535","176.26684732146","396914","264544"
"Southern Africa","1960","1657713","349533","9.2","9.42",,,,
