"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"World","2003","1152132600","603979788","100","100","12.4004694166362","5.43738133762414","7.00115603417409","1428841","658604","770237"
"Adhoc","2004","4394854","2444400","100","100","15.1185506486359","6.08924227067967","9.08462687191799","6546","2986","3560"
"World","2004","1171543103","613185135","100","100","12.2290846384602","5.366142657239","6.89996819488532","1433056","659858","773198"
"Adhoc","2005","4531810","2538433","100","100","14.3708322894271","5.89174970433236","8.52933529379002","6415","3000","3415"
"World","2005","1189759982","621600482","100","100","11.6486913626621","5.09404373592464","6.5882082476927","1386014","634909","751105"
"Adhoc","2006","4783039","2691173","100","100","14.0731390014028","5.85940285960348","8.26214739185358","6634","3163","3471"
"World","2006","1204165041","625934742","100","100","11.1572639145697","4.8751231310424","6.31291703137124","1344169","611793","732376"
"Adhoc","2007","5022028","2833615","100","100","14.0471461153073","5.93585616016608","8.15972490850459","6960","3374","3586"
"World","2007","1212452880","624694997","100","100","10.7894506849106","4.74896414022676","6.06930947774953","1310372","594743","715629"
"Adhoc","2008","5107763","2887402","100","100","14.5340337734031","6.20600233497601","8.38003797365883","7332","3595","3737"
"World","2008","1218787538","621541950","100","100","10.5638097868347","4.70087561447715","5.89062526903869","1291444","585735","705709"
"Adhoc","2009","5412310","3061907","100","100","15.9096387188871","6.8917942733502","9.08042486562538","8523","4235","4288"
"World","2009","1223863075","617332369","100","100","10.2136513510092","4.58779298717702","5.65178759532693","1255280","567741","687539"
"Adhoc","2010","5675889","3211820","100","100","17.7777050264986","7.88023042153495","9.97608848089875","10023","5082","4941"
"World","2010","1227087596","611536747","100","100","9.89519489563273","4.50073830151463","5.41884539915602","1220642","551715","668927"
"Adhoc","2011","5922596","3349457","100","100","20.0255297165098","9.04545149909746","11.0803045750411","11821","6087","5734"
"World","2011","1227871524","607321436","100","100","9.49481842194821","4.35738156242266","5.15992060242212","1172476","530422","642054"
"Adhoc","2012","6286261","3546524","100","100","22.9455320355971","10.6074043159963","12.4704063618659","14440","7564","6876"
"World","2012","1225502812","605744961","100","100","9.13072781541191","4.20638062730917","4.94514836438185","1125151","510673","614478"
"Adhoc","2013","6592186","3702306","100","100","25.5609361678772","11.9143717125564","13.8111152157665","16913","8875","8038"
"World","2013","1221855727","605185859","100","100","8.86278159628007","4.09121207938871","4.79117121443828","1088537","496204","592333"
"Adhoc","2014","6890040","3846622","100","100","29.3159339978021","13.6353296788274","15.8973702027151","20316","10562","9754"
"World","2014","1217869478","605481056","100","100","8.68213091851311","4.01861421491192","4.68233319433485","1062446","487619","574827"
"Adhoc","2015","7234631","4012586","100","100","31.8594489137665","14.7585008569133","17.3571130242958","23215","11932","11283"
"World","2015","1213644023","607253280","100","100","8.52392653169542","3.94137426626905","4.60068528802785","1038877","479628","559249"
"Adhoc","2016","7464738","4112440","100","100","32.9845586661183","15.2663834911189","17.9928610925405","24826","12653","12173"
"World","2016","1212127247","610157323","100","100","8.34657690075635","3.84933332295599","4.51462186217502","1015409","470646","544763"
"Adhoc","2017","7711732","4222632","100","100","32.6266658838252","14.8931249048025","18.00164167701","25348","12672","12676"
"World","2017","1213873934","613328489","100","100","8.19328726086677","3.77251365207727","4.43751419165876","997804","463633","534171"
"Adhoc","2018","7956498","4333085","100","100","32.6598246890231","14.7038694302809","18.2239173601135","26165","12837","13328"
"World","2018","1217357593","616826849","100","100","7.97644116013474","3.66771630336449","4.32458621212569","973835","453300","520535"
"Adhoc","2019","8193358","4437703","100","100","32.1185096734476","14.4207978061416","17.9566612484431","26502","12892","13610"
"World","2019","1222144282","620742261","100","100","7.85909700143372","3.60874864862683","4.26574234472889","963012","448830","514182"
"Adhoc","2020","8428731","4538741","100","100","31.4456125349095","14.0205721841781","17.6728234475765","26689","12817","13872"
"World","2020","1227745229","624322207","100","100","7.73212415578595","3.52662879111566","4.22037907502567","951540","441128","510412"
"Adhoc","2021","8680817","4647496","100","100","31.1295673057751","13.6586462500375","17.7128546717777","27199","12783","14416"
"World","2021","1234905766","628439278","100","100","7.72833168357268","3.50807653658873","4.23511224488005","956478","441697","514781"
"Adhoc","2022","8774530","4669103","100","100","29.0517381951696","12.7197600845118","16.5423933857482","25650","11954","13696"
"World","2022","1243842535","634201746","100","100","7.71529415094141","3.48828517764488","4.2418056009006","961523","443228","518295"
"Adhoc","2023","8846058","4682982","100","100","28.2317414386205","12.2352210096891","16.194665743481","25124","11530","13594"
"World","2023","1254342087","641279188","100","100","7.5420167334348","3.38401532091815","4.17211993028142","947379","434755","512624"
"Adhoc","2024","9044332","4774532","100","100","27.6233353013272","11.8002373372835","16.0120438821075","25119","11335","13784"
"World","2024","1265755718","649023947","100","100","7.36686149429822","3.27051836249699","4.10978425667848","933195","425224","507971"
