"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"World","2007","1227250146","618621178","100","100","9.61052621460512","5.75829904364587","3.87453791895254","1187045","714498","472547"
"Adhoc","2008","8044443","4364917","100","100","10.6473056149161","5.96850329672438","4.70689543913762","8698","5226","3472"
"World","2008","1229976017","621924417","100","100","9.62141752897927","5.74348516765546","3.90033387106115","1191708","716460","475248"
"Adhoc","2009","8359887","4509680","100","100","10.5729498560265","5.91193995202352","4.68872939061158","8967","5348","3619"
"World","2009","1234393925","625920181","100","100","9.3306409023376","5.52633737533366","3.82544422238733","1160155","693726","466429"
"Adhoc","2010","8577901","4599079","100","100","10.2841057281206","5.74655139163349","4.56378033472069","8941","5301","3640"
"World","2010","1239562506","629419560","100","100","8.99127316319692","5.27119372248025","3.73979261205681","1122529","665312","457217"
"Adhoc","2011","8749868","4662641","100","100","9.86762970951227","5.49141654699086","4.40037746816318","8740","5135","3605"
"World","2011","1246028960","633155682","100","100","8.85675554085197","5.1761766077016","3.69972938585219","1111499","657166","454334"
"Adhoc","2012","9076613","4808203","100","100","9.34380638270793","5.18182759200804","4.18365778404073","8575","4996","3579"
"World","2012","1254333494","638524239","100","100","8.37995500105071","4.84917921673504","3.54798057799586","1058521","620769","437752"
"Adhoc","2013","9305332","4906389","100","100","9.65114554466206","5.40279152359331","4.27143167592106","9082","5316","3766"
"World","2013","1264590382","645333012","100","100","8.12982373338345","4.67306158574827","3.47299165150944","1035432","604549","430883"
"Adhoc","2014","9519038","5006935","100","100","9.6429102848854","5.41973572563907","4.24618777482732","9282","5442","3840"
"World","2014","1276415597","653061883","100","100","8.01517268889973","4.58480130552814","3.44617139447996","1030586","600208","430378"
"Adhoc","2015","9795527","5149895","100","100","9.85758921543423","5.56323655276845","4.31837681440828","9767","5746","4021"
"World","2015","1287914765","660738702","100","100","7.87050765248598","4.47782800136545","3.40793981947116","1021268","593063","428205"
"Adhoc","2016","9924478","5225463","100","100","9.75334330992483","5.50108490173097","4.27577983609334","9792","5765","4027"
"World","2016","1298814884","667703800","100","100","7.70457537554847","4.36331679967678","3.35590143698972","1008256","583955","424301"
"Adhoc","2017","10100518","5336292","100","100","7.96526334987824","4.36894379358017","3.61210062088741","8121","4673","3448"
"World","2017","1311300506","674733973","100","100","7.60311916314138","4.29146398130586","3.32592828326765","1004505","580365","424140"
"Adhoc","2018","10306060","5463919","100","100","8.15357556290397","4.47301958404661","3.69709314891638","8486","4899","3587"
"World","2018","1324453104","680947810","100","100","7.24324122238229","4.06097393801281","3.19524308325616","966077","554188","411889"
"Adhoc","2019","10532315","5597298","100","100","8.49004852363222","4.66634393200613","3.84163096295905","9035","5236","3799"
