"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","CMR.median","Under.five.deaths.median","Infant.deaths.median","Child.deaths.median"
"World",1998,1236285250,628750700,100,100,12.1756161539516,7.69991131734931,4.5104347844452,3040102,1943033,1097069
"Adhoc",1999,5740272,3236483,100,100,10.6152628292753,6.05456563689764,4.58847843624336,12444,7847,4597
"World",1999,1240883533,624027967,100,100,11.4237067629444,7.22453260843945,4.22973199120027,2853050,1808842,1044209
"Adhoc",2000,6017665,3394081,100,100,10.0889255147968,5.74788031306191,4.36614125912212,12391,7811,4580
"World",2000,1243054399,617725804,100,100,11.0716766699855,7.00490509029564,4.09545988750304,2760572,1735878,1024695
"Adhoc",2001,6005143,3385360,100,100,9.68368227464145,5.51297714758297,4.19382559170651,11863,7471,4392
"World",2001,1242336810,612888769,100,100,10.8880861398376,6.87993374840913,4.03591924847189,2707714,1691406,1016309
"Adhoc",2002,6223589,3500046,100,100,9.3808372424633,5.33707793131098,4.06545697183732,11901,7475,4426
"World",2002,1239178864,610982474,100,100,10.5479461198521,6.633295560432,3.94079099080403,2615664,1625427,990238
"Adhoc",2003,6766822,3789013,100,100,9.20278389827212,5.23039536208445,3.99327494292868,12681,7928,4753
"World",2003,1235637295,610525139,100,100,10.321590326558,6.44531410125169,3.90142211628726,2553445,1577961,975485
"Adhoc",2004,7139260,3974341,100,100,9.12187915983076,5.17861191868764,3.96379419299421,13246,8233,5013
"World",2004,1231531056,610889398,100,100,10.3799312470305,6.44350008633798,3.96196005062075,2562097,1578453,983645
"Adhoc",2005,7358030,4068940,100,100,9.18601457333901,5.20766626323288,3.99917467715312,13730,8473,5257
"World",2005,1227136027,612578777,100,100,9.84961846765708,6.0531251956824,3.81961387294679,2425367,1486470,938897
"Adhoc",2006,7729006,4245826,100,100,9.32733436922628,5.28180366371835,4.06701186366987,14629,8969,5660
"World",2006,1225640269,615495136,100,100,9.40974931434524,5.73699685921601,3.69394460371882,2316337,1415039,901297
"Adhoc",2007,8034440,4385929,100,100,9.4902029891899,5.36867395799746,4.1437756114052,15461,9419,6042
"World",2007,1227250146,618621178,100,100,9.13756257320075,5.52799162281972,3.62963554526915,2253452,1370104,883347
"Adhoc",2008,8044443,4364917,100,100,9.57918773681765,5.41039861248865,4.19146662956588,15610,9446,6164
"World",2008,1229976017,621924417,100,100,9.1520111254898,5.51449368895399,3.65768773245256,2263323,1373989,889334
"Adhoc",2009,8359887,4509680,100,100,9.49579116138644,5.35297750389365,4.16510939438221,16062,9654,6408
"World",2009,1234393925,625920181,100,100,8.83895029550785,5.29380800122896,3.56400947616026,2194194,1327198,866996
"Adhoc",2010,8577901,4599079,100,100,9.21962897394235,5.18863254646483,4.0520208748678,15983,9542,6441
