"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"World","2003","562171352","294021896","100","100","12.4492723543479","5.45750152784502","7.03013781436573","700159","321803","378355"
"Adhoc","2004","2141518","1190193","100","100","15.1170247158747","6.0896544560858","9.08268064646084","3190","1454","1736"
"World","2004","571190269","298230419","100","100","12.2803359399656","5.38948208934595","6.92819322391134","701869","322330","379538"
"Adhoc","2005","2231844","1248995","100","100","14.3714840374102","5.89134774159016","8.53039180028752","3160","1476","1684"
"World","2005","579628211","302046334","100","100","11.6980136721478","5.11833284298199","6.61353108251351","678365","309988","368377"
"Adhoc","2006","2345990","1318645","100","100","14.0754045810052","5.86002480113722","8.26380588731949","3255","1550","1705"
"World","2006","586143863","303879048","100","100","11.2116558747044","4.90163964812999","6.34109800396331","657745","298633","359112"
"Adhoc","2007","2421070","1364533","100","100","14.0467530277836","5.93674317941276","8.15844443774131","3356","1625","1731"
"World","2007","589930213","303116218","100","100","10.8450275801444","4.77651411869018","6.09763891984548","641108","290261","350847"
"Adhoc","2008","2512719","1418635","100","100","14.5346573842551","6.20848711080129","8.3781861340792","3608","1767","1841"
"World","2008","592693678","301479225","100","100","10.6248039837383","4.73005861513163","5.92276037233121","631862","285879","345983"
"Adhoc","2009","2648392","1496338","100","100","15.9118646448622","6.89304721304444","9.08141606149095","4172","2070","2102"
"World","2009","594966021","299320109","100","100","10.2798443683195","4.61888335088461","5.6872296678605","614385","277145","337240"
"Adhoc","2010","2771596","1566362","100","100","17.7773598015948","7.87889020203726","9.97707790087565","4895","2478","2417"
"World","2010","596167934","296377249","100","100","9.96389142472431","4.53226067019824","5.45636040217927","597310","269262","328048"
"Adhoc","2011","2918867","1648585","100","100","20.0267048146548","9.04548405114503","11.0814579143373","5827","2996","2831"
"World","2011","595972496","294087127","100","100","9.56251282049914","4.38784057122407","5.19747795390918","573275","258649","314626"
"Adhoc","2012","3080486","1735508","100","100","22.9458848983541","10.6060432380385","12.4721215204314","7077","3701","3376"
"World","2012","594301614","293113088","100","100","9.20015431415766","4.23736625731895","4.98390669489719","549902","248933","300969"
"Adhoc","2013","3226593","1809388","100","100","25.5604000256787","11.9133296341671","13.811612686222","8279","4337","3942"
"World","2013","592119098","292670823","100","100","8.9327497744186","4.12221711217725","4.83044480447377","531783","241789","289994"
"Adhoc","2014","3382114","1884991","100","100","29.3158364588441","13.6359050028439","15.8966973103835","9974","5176","4798"
"World","2014","589792691","292688549","100","100","8.75197739995259","4.05018889316953","4.72090908030579","518754","237570","281184"
