"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Northern Africa and Western Asia","1957","10533258","5425044","0","0",,,,,,
"Western Asia","1957","5352874","2759431","0","0",,,,,,
"Northern Africa","1957","5180384","2665614","0","0",,,,,,
"Sub-Saharan Africa","1957","19169166","10193449","7.53","7.61",,,,,,
"Oceania","1957","1013429","532334","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1957","247009","127370","0","0",,,,,,
"Australia and New Zealand","1957","766420","404964","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1957","60823490","31160731","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1957","19157373","9987400","0","0",,,,,,
"World","1957","240477969","124101037","0.6","0.6",,,,,,
"Least developed countries","1958","21542907","11471440","7.51","7.56",,,,,,
"Landlocked developing countries","1958","11533872","5976360","1.23","1.25",,,,,,
"Small island developing States","1958","2209715","1168961","0.92","0.91",,,,,,
"Europe and Northern America","1958","59782856","29903169","0","0",,,,,,
"Northern America","1958","12916633","6838652","0","0",,,,,,
"Europe","1958","46866223","23064517","0","0",,,,,,
"Latin America and the Caribbean","1958","18394473","9797992","0","0",,,,,,
"Central and Southern Asia","1958","50931555","26445484","0","0",,,,,,
"Central Asia","1958","1981520","917270","0","0",,,,,,
"Southern Asia","1958","48950036","25528214","0","0",,,,,,
"Eastern and South-Eastern Asia","1958","81832995","41652725","0","0",,,,,,
"Eastern Asia","1958","62680344","31715233","0","0",,,,,,
"South-Eastern Asia","1958","19152651","9937492","0","0",,,,,,
"Northern Africa and Western Asia","1958","10642556","5451562","0","0",,,,,,
"Western Asia","1958","5425089","2759641","0","0",,,,,,
"Northern Africa","1958","5217468","2691921","0","0",,,,,,
"Sub-Saharan Africa","1958","19536402","10396466","8.3","8.36",,,,,,
"Oceania","1958","1043572","549956","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1958","248939","128629","0","0",,,,,,
"Australia and New Zealand","1958","794633","421327","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1958","60577489","30324496","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1958","19401590","10066121","0","0",,,,,,
"World","1958","242164407","124197354","0.7","0.7",,,,,,
"Least developed countries","1959","21972518","11724143","9.56","9.63",,,,,,
"Landlocked developing countries","1959","11635712","5944583","5.09","5.34",,,,,,
"Small island developing States","1959","2248161","1187237","0.92","0.91",,,,,,
"Europe and Northern America","1959","59611436","29015693","0","0",,,,,,
"Northern America","1959","13273620","7123975","0","0",,,,,,
"Europe","1959","46337816","21891718","0","0",,,,,,
"Latin America and the Caribbean","1959","18815397","10078765","0","0",,,,,,
"Central and Southern Asia","1959","51555717","26651465","0","0",,,,,,
"Central Asia","1959","1928017","809042","0","0",,,,,,
"Southern Asia","1959","49627701","25842423","0","0",,,,,,
"Eastern and South-Eastern Asia","1959","82135540","42046069","0","0",,,,,,
"Eastern Asia","1959","62752725","32022186","0","0",,,,,,
"South-Eastern Asia","1959","19382815","10023883","0","0",,,,,,
"Northern Africa and Western Asia","1959","10764424","5505545","0","0",,,,,,
"Western Asia","1959","5490257","2762716","0","0",,,,,,
"Northern Africa","1959","5274167","2742829","0","0",,,,,,
"Sub-Saharan Africa","1959","19936062","10627463","10.56","10.64",,,,,,
"Oceania","1959","1079360","571900","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1959","251292","130328","0","0",,,,,,
"Australia and New Zealand","1959","828068","441573","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1959","60439504","29457265","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1959","19634107","10154211","0","0",,,,,,
"World","1959","243897935","124496898","0.9","0.9",,,,,,
"Least developed countries","1960","22458983","12013826","10.26","10.32",,,,,,
"Landlocked developing countries","1960","11742699","5957077","5.13","5.44",,,,,,
